Location,Density,Velocity,Pressure,Internal Energy
3.906250e-03,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.171875e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.953125e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
2.734375e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
3.515625e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
4.296875e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
5.078125e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
5.859375e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
6.640625e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
7.421875e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
8.203125e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
8.984375e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
9.765625e-02,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.054688e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.132812e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.210938e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.289062e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.367188e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.445312e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.523438e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.601562e-01,1.000000e+00,7.500000e-01,1.000000e+00,2.500000e+00
1.679688e-01,9.838643e-01,7.692164e-01,9.774832e-01,2.483786e+00
1.757812e-01,9.570067e-01,8.017685e-01,9.403314e-01,2.456439e+00
1.835938e-01,9.307388e-01,8.343206e-01,9.043966e-01,2.429244e+00
1.914062e-01,9.050509e-01,8.668727e-01,8.696454e-01,2.402200e+00
1.992188e-01,8.799333e-01,8.994248e-01,8.360450e-01,2.375308e+00
2.070312e-01,8.553765e-01,9.319768e-01,8.035636e-01,2.348567e+00
2.148438e-01,8.313711e-01,9.645289e-01,7.721699e-01,2.321977e+00
2.226562e-01,8.079076e-01,9.970810e-01,7.418334e-01,2.295539e+00
2.304688e-01,7.849770e-01,1.029633e+00,7.125243e-01,2.269252e+00
2.382812e-01,7.625699e-01,1.062185e+00,6.842134e-01,2.243117e+00
2.460938e-01,7.406776e-01,1.094737e+00,6.568722e-01,2.217133e+00
2.539062e-01,7.192909e-01,1.127289e+00,6.304728e-01,2.191300e+00
2.617188e-01,6.984011e-01,1.159841e+00,6.049882e-01,2.165619e+00
2.695312e-01,6.779995e-01,1.192394e+00,5.803917e-01,2.140089e+00
2.773438e-01,6.580775e-01,1.224946e+00,5.566573e-01,2.114710e+00
2.851562e-01,6.386266e-01,1.257498e+00,5.337598e-01,2.089483e+00
2.929688e-01,6.196384e-01,1.290050e+00,5.116743e-01,2.064407e+00
3.007812e-01,6.011045e-01,1.322602e+00,4.903769e-01,2.039483e+00
3.085938e-01,5.830168e-01,1.355154e+00,4.698438e-01,2.014710e+00
3.164062e-01,5.798667e-01,1.360906e+00,4.662936e-01,2.010348e+00
