t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	2.891366e-04	1.571553e-04	2.044107e-02	5.548536e-03
1	2.954406e-04	1.774810e-04	2.153704e-02	5.784291e-03
2	3.963120e-04	2.708085e-04	2.601576e-02	8.013229e-03
3	5.518336e-04	4.102943e-04	3.182792e-02	1.090465e-02
4	7.392016e-04	5.744532e-04	3.811410e-02	1.393018e-02
5	9.454843e-04	7.520321e-04	4.450558e-02	1.689578e-02
6	1.161875e-03	9.357228e-04	5.079960e-02	1.970259e-02
7	1.381931e-03	1.120244e-03	5.686467e-02	2.228255e-02
8	1.600789e-03	1.301601e-03	6.260892e-02	2.458682e-02
9	1.814723e-03	1.476711e-03	6.796904e-02	2.658629e-02
10	2.020880e-03	1.643181e-03	7.290552e-02	2.827297e-02
11	2.217096e-03	1.799168e-03	7.739954e-02	2.965873e-02
12	2.401763e-03	1.943282e-03	8.144940e-02	3.077142e-02
13	2.573741e-03	2.074527e-03	8.506673e-02	3.164919e-02
14	2.732285e-03	2.192247e-03	8.827246e-02	3.233448e-02
15	2.876982e-03	2.296098e-03	9.109327e-02	3.286880e-02
16	3.007706e-03	2.386004e-03	9.355872e-02	3.328900e-02
17	3.124567e-03	2.462128e-03	9.569905e-02	3.362520e-02
18	3.227873e-03	2.524831e-03	9.754382e-02	3.390020e-02
19	3.318084e-03	2.574638e-03	9.912103e-02	3.412992e-02
20	3.395781e-03	2.612199e-03	1.004567e-01	3.432452e-02
21	3.461636e-03	2.638260e-03	1.015748e-01	3.448981e-02
22	3.516377e-03	2.653633e-03	1.024970e-01	3.462857e-02
23	3.560774e-03	2.659166e-03	1.032432e-01	3.474182e-02
24	3.595615e-03	2.655732e-03	1.038316e-01	3.482972e-02
25	3.621691e-03	2.644204e-03	1.042783e-01	3.489226e-02
26	3.639786e-03	2.625445e-03	1.045986e-01	3.492976e-02
27	3.650669e-03	2.600300e-03	1.048059e-01	3.494306e-02
28	3.655080e-03	2.569586e-03	1.049129e-01	3.493369e-02
29	3.653736e-03	2.534089e-03	1.049311e-01	3.490381e-02
30	3.647317e-03	2.494556e-03	1.048710e-01	3.485619e-02
31	3.636470e-03	2.451700e-03	1.047425e-01	3.479408e-02
32	3.621806e-03	2.406190e-03	1.045548e-01	3.472104e-02
33	3.603898e-03	2.358658e-03	1.043161e-01	3.464084e-02
34	3.583285e-03	2.309695e-03	1.040346e-01	3.455724e-02
35	3.560467e-03	2.259849e-03	1.037175e-01	3.447392e-02
36	3.535911e-03	2.209631e-03	1.033720e-01	3.439426e-02
37	3.510048e-03	2.159509e-03	1.030047e-01	3.432126e-02
38	3.483278e-03	2.109912e-03	1.026219e-01	3.425739e-02
39	3.455966e-03	2.061227e-03	1.022297e-01	3.420450e-02
40	3.428450e-03	2.013804e-03	1.018340e-01	3.416375e-02
41	3.401037e-03	1.967947e-03	1.014404e-01	3.413553e-02
42	3.374007e-03	1.923922e-03	1.010545e-01	3.411943e-02
43	3.347616e-03	1.881953e-03	1.006816e-01	3.411422e-02
44	3.322092e-03	1.842221e-03	1.003270e-01	3.411789e-02
45	3.297642e-03	1.804865e-03	9.999589e-02	3.412772e-02
46	3.274450e-03	1.769985e-03	9.969310e-02	3.414033e-02
47	3.252679e-03	1.737640e-03	9.942342e-02	3.415187e-02
48	3.232474e-03	1.707849e-03	9.919137e-02	3.415812e-02
49	3.213961e-03	1.680597e-03	9.900111e-02	3.415476e-02
50	3.197248e-03	1.655833e-03	9.885644e-02	3.413753e-02
51	3.182429e-03	1.633479e-03	9.876064e-02	3.410247e-02
52	3.169581e-03	1.613430e-03	9.871643e-02	3.404617e-02
53	3.158767e-03	1.595558e-03	9.872589e-02	3.396592e-02
54	3.150039e-03	1.579722e-03	9.879040e-02	3.385987e-02
55	3.143436e-03	1.565766e-03	9.891059e-02	3.372710e-02
