t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	3.945637e-03	2.444434e-03	7.836073e-02	2.622653e-02
1	2.459090e-03	1.146014e-03	6.674156e-02	2.335496e-02
2	1.873935e-03	6.580140e-04	6.193062e-02	2.311558e-02
3	1.682694e-03	6.426487e-04	6.120949e-02	2.531527e-02
4	1.589962e-03	6.390624e-04	6.161700e-02	2.675269e-02
5	1.512581e-03	6.017402e-04	6.195438e-02	2.722680e-02
6	1.465116e-03	5.215980e-04	6.260293e-02	2.656043e-02
7	1.430641e-03	4.233926e-04	6.321893e-02	2.511073e-02
8	1.409974e-03	3.379521e-04	6.387444e-02	2.354207e-02
9	1.386580e-03	2.442788e-04	6.414415e-02	2.113685e-02
10	1.358158e-03	1.761198e-04	6.394376e-02	1.808728e-02
11	1.358589e-03	1.792013e-04	6.439666e-02	1.641209e-02
12	1.372797e-03	2.038227e-04	6.516218e-02	1.558093e-02
13	1.403335e-03	2.314452e-04	6.640770e-02	1.602357e-02
14	1.445378e-03	2.527484e-04	6.791156e-02	1.695623e-02
15	1.485427e-03	2.650658e-04	6.920383e-02	1.741637e-02
16	1.510117e-03	2.772553e-04	6.992847e-02	1.725743e-02
17	1.522040e-03	2.986051e-04	7.022551e-02	1.705279e-02
18	1.525196e-03	3.284510e-04	7.022371e-02	1.699086e-02
19	1.538904e-03	3.366836e-04	7.042536e-02	1.655589e-02
20	1.555221e-03	3.374107e-04	7.064178e-02	1.598424e-02
21	1.571074e-03	3.366571e-04	7.080345e-02	1.539381e-02
22	1.586680e-03	3.350956e-04	7.092389e-02	1.480489e-02
23	1.602307e-03	3.330854e-04	7.101607e-02	1.422496e-02
24	1.618303e-03	3.308758e-04	7.109418e-02	1.366061e-02
25	1.635046e-03	3.286511e-04	7.117217e-02	1.311778e-02
26	1.652884e-03	3.265485e-04	7.126220e-02	1.260050e-02
27	1.672112e-03	3.246688e-04	7.137416e-02	1.211075e-02
28	1.692961e-03	3.230834e-04	7.151559e-02	1.164849e-02
29	1.715589e-03	3.218378e-04	7.169159e-02	1.121182e-02
30	1.740035e-03	3.209562e-04	7.190397e-02	1.079552e-02
31	1.766119e-03	3.204457e-04	7.214888e-02	1.038767e-02
32	1.793139e-03	3.203125e-04	7.241005e-02	9.959522e-03
33	1.818460e-03	3.207361e-04	7.262577e-02	9.417350e-03
34	1.836687e-03	3.231664e-04	7.267086e-02	8.582042e-03
35	1.871391e-03	3.237030e-04	7.310973e-02	8.265728e-03
36	1.909702e-03	3.241437e-04	7.362764e-02	8.013190e-03
37	1.951141e-03	3.245896e-04	7.421141e-02	7.806869e-03
38	1.995486e-03	3.250956e-04	7.485444e-02	7.639456e-03
39	2.042560e-03	3.257113e-04	7.555149e-02	7.506171e-03
40	2.092196e-03	3.264875e-04	7.629772e-02	7.403342e-03
41	2.144220e-03	3.274768e-04	7.708850e-02	7.327910e-03
42	2.198451e-03	3.287328e-04	7.791930e-02	7.277202e-03
43	2.254702e-03	3.303089e-04	7.878565e-02	7.248819e-03
44	2.312776e-03	3.322566e-04	7.968318e-02	7.240569e-03
45	2.372469e-03	3.346235e-04	8.060760e-02	7.250433e-03
46	2.433573e-03	3.374512e-04	8.155474e-02	7.276542e-03
47	2.495874e-03	3.407744e-04	8.252054e-02	7.317162e-03
48	2.559155e-03	3.446189e-04	8.350107e-02	7.370688e-03
49	2.623198e-03	3.490009e-04	8.449254e-02	7.435636e-03
50	2.687785e-03	3.539263e-04	8.549129e-02	7.510634e-03
51	2.752697e-03	3.593905e-04	8.649381e-02	7.594424e-03
52	2.817719e-03	3.653788e-04	8.749673e-02	7.685849e-03
53	2.882639e-03	3.718668e-04	8.849682e-02	7.783850e-03
