t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	4.040796e-03	2.511625e-03	7.974329e-02	2.629000e-02
1	2.732295e-03	1.201555e-03	7.110942e-02	2.259933e-02
2	2.393909e-03	5.900194e-04	7.085941e-02	2.153008e-02
3	2.502179e-03	4.754914e-04	7.560910e-02	2.358544e-02
4	2.748199e-03	4.369861e-04	8.194001e-02	2.545162e-02
5	3.038621e-03	4.175175e-04	8.852698e-02	2.686408e-02
6	3.378629e-03	3.878402e-04	9.539773e-02	2.765964e-02
7	3.740933e-03	3.773400e-04	1.021165e-01	2.813798e-02
8	4.120353e-03	3.958489e-04	1.086462e-01	2.873435e-02
9	4.493618e-03	4.162889e-04	1.145763e-01	2.884278e-02
10	4.851598e-03	4.461284e-04	1.198173e-01	2.856512e-02
11	5.224986e-03	4.781192e-04	1.249514e-01	2.896769e-02
12	5.595896e-03	5.063283e-04	1.296963e-01	2.958527e-02
13	5.961643e-03	5.406924e-04	1.340523e-01	3.047074e-02
14	6.317322e-03	5.788517e-04	1.379505e-01	3.129698e-02
15	6.647448e-03	6.125198e-04	1.412151e-01	3.166772e-02
16	6.936937e-03	6.454238e-04	1.437470e-01	3.156455e-02
17	7.187246e-03	6.892370e-04	1.456654e-01	3.127948e-02
18	7.401402e-03	7.452654e-04	1.470719e-01	3.092706e-02
19	7.599849e-03	7.802648e-04	1.482152e-01	3.037995e-02
20	7.774081e-03	8.087128e-04	1.490511e-01	2.973855e-02
21	7.921001e-03	8.361692e-04	1.495847e-01	2.905465e-02
22	8.041051e-03	8.628478e-04	1.498496e-01	2.834906e-02
23	8.134883e-03	8.885025e-04	1.498756e-01	2.763455e-02
24	8.203392e-03	9.128573e-04	1.496899e-01	2.692099e-02
25	8.247642e-03	9.356680e-04	1.493168e-01	2.621599e-02
26	8.268795e-03	9.566975e-04	1.487779e-01	2.552474e-02
27	8.268076e-03	9.757065e-04	1.480921e-01	2.485040e-02
28	8.246739e-03	9.924461e-04	1.472756e-01	2.419436e-02
29	8.206053e-03	1.006650e-03	1.463428e-01	2.355656e-02
30	8.147235e-03	1.017963e-03	1.453053e-01	2.293498e-02
31	8.071330e-03	1.025768e-03	1.441718e-01	2.232420e-02
32	7.978892e-03	1.028710e-03	1.429451e-01	2.171078e-02
33	7.868680e-03	1.022689e-03	1.416103e-01	2.105348e-02
34	7.735780e-03	9.979558e-04	1.401171e-01	2.025417e-02
35	7.606472e-03	9.928241e-04	1.387064e-01	1.969616e-02
36	7.468784e-03	9.870860e-04	1.372609e-01	1.917264e-02
37	7.323562e-03	9.801656e-04	1.357832e-01	1.867572e-02
38	7.171894e-03	9.719311e-04	1.342782e-01	1.820201e-02
39	7.014889e-03	9.623616e-04	1.327511e-01	1.774923e-02
40	6.853632e-03	9.514871e-04	1.312070e-01	1.731561e-02
41	6.689169e-03	9.393670e-04	1.296508e-01	1.689971e-02
42	6.522500e-03	9.260803e-04	1.280873e-01	1.650030e-02
43	6.354574e-03	9.117202e-04	1.265214e-01	1.611633e-02
44	6.186286e-03	8.963903e-04	1.249575e-01	1.574691e-02
45	6.018478e-03	8.802027e-04	1.234003e-01	1.539132e-02
46	5.851937e-03	8.632758e-04	1.218542e-01	1.504893e-02
47	5.687392e-03	8.457333e-04	1.203236e-01	1.471929e-02
48	5.525521e-03	8.277034e-04	1.188130e-01	1.440209e-02
49	5.366947e-03	8.093177e-04	1.173267e-01	1.409715e-02
50	5.212241e-03	7.907109e-04	1.158690e-01	1.380444e-02
51	5.061923e-03	7.720202e-04	1.144442e-01	1.352409e-02
52	4.916463e-03	7.533851e-04	1.130568e-01	1.325641e-02
53	4.776283e-03	7.349469e-04	1.117108e-01	1.300183e-02
54	4.641758e-03	7.168486e-04	1.104106e-01	1.276100e-02
55	4.513220e-03	6.992340e-04	1.091603e-01	1.253470e-02
56	4.390955e-03	6.822479e-04	1.079639e-01	1.232387e-02
57	4.275210e-03	6.660346e-04	1.068254e-01	1.212960e-02
58	4.166191e-03	6.507374e-04	1.057485e-01	1.195312e-02
59	4.064068e-03	6.364971e-04	1.047367e-01	1.179573e-02
60	3.968972e-03	6.234506e-04	1.037935e-01	1.165882e-02
61	3.881001e-03	6.117285e-04	1.029218e-01	1.154376e-02
62	3.800221e-03	6.014529e-04	1.021244e-01	1.145190e-02
