t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	8.470482e-05	7.074293e-05	1.049667e-02	2.214370e-03
1	6.354341e-05	6.118224e-05	9.284387e-03	2.713160e-03
2	5.619130e-05	5.128249e-05	9.303919e-03	2.743473e-03
3	5.562254e-05	4.775479e-05	9.819069e-03	3.019612e-03
4	5.739207e-05	4.637093e-05	1.051433e-02	3.417689e-03
5	5.987940e-05	4.573810e-05	1.125183e-02	3.851426e-03
6	6.237268e-05	4.527782e-05	1.196277e-02	4.267652e-03
7	6.459138e-05	4.475863e-05	1.261491e-02	4.638605e-03
8	6.644799e-05	4.409951e-05	1.319373e-02	4.951103e-03
9	6.792287e-05	4.328101e-05	1.369201e-02	5.198490e-03
10	6.902265e-05	4.231091e-05	1.410690e-02	5.376649e-03
11	6.976274e-05	4.120348e-05	1.443849e-02	5.481497e-03
12	7.016130e-05	3.995919e-05	1.468924e-02	5.507861e-03
13	7.024607e-05	3.856831e-05	1.486501e-02	5.454514e-03
14	7.004893e-05	3.703202e-05	1.497349e-02	5.326385e-03
15	6.961484e-05	3.537018e-05	1.502440e-02	5.133715e-03
16	6.899562e-05	3.361654e-05	1.502831e-02	4.890185e-03
17	6.824774e-05	3.181749e-05	1.499602e-02	4.611250e-03
18	6.742390e-05	3.001840e-05	1.493756e-02	4.312006e-03
19	6.656953e-05	2.826075e-05	1.486172e-02	4.006144e-03
20	6.572191e-05	2.658078e-05	1.477575e-02	3.705399e-03
21	6.491088e-05	2.500574e-05	1.468562e-02	3.418973e-03
22	6.416022e-05	2.355192e-05	1.459618e-02	3.153262e-03
23	6.348848e-05	2.222474e-05	1.451134e-02	2.911886e-03
24	6.290911e-05	2.102029e-05	1.443407e-02	2.695924e-03
25	6.243230e-05	1.993099e-05	1.436662e-02	2.504565e-03
26	6.206766e-05	1.895183e-05	1.431081e-02	2.336079e-03
27	6.182550e-05	1.808242e-05	1.426829e-02	2.188644e-03
28	6.171683e-05	1.732645e-05	1.424062e-02	2.060748e-03
29	6.175293e-05	1.669161e-05	1.422929e-02	1.951293e-03
30	6.194501e-05	1.619083e-05	1.423569e-02	1.859605e-03
31	6.230346e-05	1.584330e-05	1.426097e-02	1.785391e-03
32	6.283695e-05	1.567407e-05	1.430600e-02	1.728657e-03
