t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	8.823258e-05	5.619436e-05	1.108995e-02	1.435843e-03
1	7.148354e-05	4.899712e-05	1.040781e-02	1.987221e-03
2	7.158047e-05	4.604436e-05	1.100239e-02	2.620452e-03
3	7.730860e-05	4.728347e-05	1.200607e-02	3.385428e-03
4	8.495428e-05	4.983640e-05	1.314343e-02	4.133403e-03
5	9.312878e-05	5.240377e-05	1.430759e-02	4.806776e-03
6	1.009664e-04	5.443843e-05	1.542764e-02	5.401108e-03
7	1.080017e-04	5.574900e-05	1.646238e-02	5.923524e-03
8	1.140382e-04	5.630542e-05	1.739008e-02	6.374864e-03
9	1.190301e-04	5.615338e-05	1.820060e-02	6.753122e-03
10	1.230219e-04	5.538150e-05	1.889183e-02	7.057931e-03
11	1.260943e-04	5.410343e-05	1.946575e-02	7.290531e-03
12	1.283563e-04	5.244830e-05	1.992864e-02	7.456623e-03
13	1.299293e-04	5.055565e-05	2.028971e-02	7.564867e-03
14	1.309308e-04	4.857156e-05	2.055906e-02	7.624127e-03
15	1.314754e-04	4.665020e-05	2.074762e-02	7.643698e-03
16	1.316779e-04	4.494719e-05	2.086728e-02	7.633864e-03
17	1.316518e-04	4.359904e-05	2.093060e-02	7.604602e-03
18	1.314961e-04	4.269809e-05	2.094944e-02	7.563683e-03
19	1.312868e-04	4.228695e-05	2.093397e-02	7.516553e-03
20	1.310798e-04	4.236628e-05	2.089275e-02	7.466997e-03
21	1.309156e-04	4.290041e-05	2.083283e-02	7.417298e-03
22	1.308103e-04	4.381819e-05	2.075920e-02	7.368083e-03
23	1.307533e-04	4.502200e-05	2.067452e-02	7.318355e-03
24	1.307199e-04	4.640303e-05	2.058009e-02	7.265966e-03
25	1.306821e-04	4.785487e-05	2.047672e-02	7.208412e-03
26	1.306153e-04	4.928311e-05	2.036531e-02	7.143455e-03
27	1.305015e-04	5.060878e-05	2.024702e-02	7.069315e-03
28	1.303292e-04	5.176758e-05	2.012327e-02	6.984594e-03
29	1.300933e-04	5.270782e-05	1.999568e-02	6.888158e-03
30	1.297951e-04	5.338892e-05	1.986609e-02	6.779092e-03
31	1.294415e-04	5.378082e-05	1.973646e-02	6.656727e-03
