t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	7.850458e-05	5.320059e-05	1.044081e-02	1.560256e-03
1	6.299034e-05	5.045453e-05	9.604599e-03	2.203908e-03
2	6.488735e-05	4.912056e-05	1.030200e-02	2.463201e-03
3	7.224670e-05	4.974530e-05	1.147828e-02	2.746463e-03
4	8.168705e-05	5.123498e-05	1.279220e-02	3.043042e-03
5	9.151126e-05	5.276072e-05	1.408933e-02	3.322312e-03
6	1.007791e-04	5.377081e-05	1.529617e-02	3.570285e-03
7	1.090601e-04	5.406819e-05	1.638079e-02	3.782260e-03
8	1.161578e-04	5.366129e-05	1.732655e-02	3.951102e-03
9	1.220315e-04	5.257983e-05	1.812950e-02	4.069953e-03
10	1.267308e-04	5.086101e-05	1.879361e-02	4.136203e-03
11	1.303472e-04	4.856484e-05	1.932663e-02	4.150286e-03
12	1.330295e-04	4.579233e-05	1.974151e-02	4.117664e-03
13	1.349397e-04	4.270351e-05	2.005227e-02	4.046346e-03
14	1.362228e-04	3.947487e-05	2.027238e-02	3.945384e-03
15	1.370038e-04	3.626138e-05	2.041518e-02	3.824899e-03
16	1.374101e-04	3.317876e-05	2.049510e-02	3.694380e-03
17	1.375573e-04	3.031482e-05	2.052576e-02	3.561417e-03
18	1.375360e-04	2.774309e-05	2.051857e-02	3.431371e-03
19	1.374149e-04	2.551952e-05	2.048283e-02	3.307364e-03
20	1.372136e-04	2.364084e-05	2.042413e-02	3.190378e-03
21	1.369149e-04	2.206513e-05	2.034507e-02	3.080125e-03
22	1.365029e-04	2.075182e-05	2.024779e-02	2.975843e-03
23	1.359695e-04	1.966017e-05	2.013451e-02	2.876601e-03
24	1.353105e-04	1.874638e-05	2.000740e-02	2.781427e-03
25	1.345272e-04	1.796762e-05	1.986862e-02	2.689352e-03
26	1.336258e-04	1.728578e-05	1.972038e-02	2.599476e-03
27	1.326187e-04	1.666922e-05	1.956500e-02	2.511084e-03
28	1.315234e-04	1.609262e-05	1.940491e-02	2.423773e-03
