t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	5.618491e-03	3.137709e-03	9.225118e-02	3.213192e-02
1	6.677477e-03	3.579406e-03	1.062525e-01	3.645836e-02
2	7.253058e-03	3.760871e-03	1.163166e-01	3.942367e-02
3	7.607105e-03	3.837600e-03	1.245451e-01	4.241400e-02
4	7.863750e-03	3.880917e-03	1.318385e-01	4.563649e-02
5	8.071924e-03	3.913591e-03	1.385141e-01	4.903338e-02
6	8.259055e-03	3.945418e-03	1.447253e-01	5.243211e-02
7	8.438082e-03	3.978663e-03	1.505179e-01	5.565847e-02
8	8.615382e-03	4.013650e-03	1.558940e-01	5.857049e-02
9	8.793089e-03	4.051364e-03	1.608300e-01	6.107292e-02
10	8.971556e-03	4.092174e-03	1.653080e-01	6.311162e-02
11	9.150477e-03	4.135432e-03	1.693274e-01	6.466581e-02
12	9.329111e-03	4.180275e-03	1.729019e-01	6.574507e-02
13	9.506410e-03	4.225687e-03	1.760550e-01	6.637670e-02
14	9.681538e-03	4.270765e-03	1.788214e-01	6.660780e-02
15	9.853832e-03	4.314642e-03	1.812422e-01	6.649584e-02
16	1.002305e-02	4.356695e-03	1.833636e-01	6.610526e-02
17	1.018890e-02	4.396306e-03	1.852287e-01	6.549561e-02
18	1.035059e-02	4.432439e-03	1.868717e-01	6.471279e-02
19	1.050688e-02	4.463764e-03	1.883185e-01	6.379004e-02
20	1.065581e-02	4.488394e-03	1.895832e-01	6.274400e-02
21	1.079515e-02	4.504426e-03	1.906741e-01	6.158560e-02
22	1.092309e-02	4.510433e-03	1.916002e-01	6.032790e-02
23	1.103856e-02	4.505855e-03	1.923740e-01	5.899038e-02
24	1.114111e-02	4.491051e-03	1.930098e-01	5.759723e-02
25	1.123127e-02	4.467585e-03	1.935273e-01	5.618045e-02
26	1.131001e-02	4.437708e-03	1.939463e-01	5.477345e-02
27	1.137885e-02	4.404244e-03	1.942886e-01	5.341085e-02
28	1.143978e-02	4.370308e-03	1.945775e-01	5.212685e-02
29	1.149495e-02	4.338857e-03	1.948357e-01	5.095116e-02
30	1.154739e-02	4.312788e-03	1.950922e-01	4.991335e-02
31	1.160057e-02	4.294471e-03	1.953790e-01	4.903794e-02
32	1.165870e-02	4.285661e-03	1.957339e-01	4.834461e-02
33	1.172686e-02	4.287513e-03	1.962012e-01	4.784811e-02
34	1.181089e-02	4.300794e-03	1.968308e-01	4.755805e-02
35	1.191768e-02	4.326558e-03	1.976795e-01	4.748365e-02
36	1.205503e-02	4.366994e-03	1.988076e-01	4.763689e-02
37	1.223184e-02	4.426869e-03	2.002791e-01	4.804026e-02
38	1.245816e-02	4.515429e-03	2.021580e-01	4.873517e-02
39	1.274505e-02	4.648364e-03	2.045046e-01	4.978775e-02
40	1.310458e-02	4.849205e-03	2.073730e-01	5.128924e-02
41	1.355009e-02	5.149303e-03	2.108122e-01	5.334917e-02
42	1.409669e-02	5.585816e-03	2.148697e-01	5.608359e-02
43	1.476116e-02	6.197253e-03	2.195919e-01	5.959530e-02
44	1.556193e-02	7.018459e-03	2.250254e-01	6.395573e-02
45	1.651889e-02	8.077282e-03	2.312183e-01	6.919346e-02
46	1.765416e-02	9.395380e-03	2.382263e-01	7.529879e-02
47	1.899198e-02	1.098991e-02	2.461121e-01	8.222913e-02
48	2.055924e-02	1.287681e-02	2.549469e-01	8.992372e-02
49	2.238443e-02	1.507157e-02	2.648023e-01	9.830833e-02
50	2.449845e-02	1.759178e-02	2.757515e-01	1.073096e-01
51	2.693403e-02	2.045671e-02	2.878641e-01	1.168568e-01
52	2.972551e-02	2.368645e-02	3.012039e-01	1.268818e-01
53	3.290887e-02	2.730311e-02	3.158250e-01	1.373280e-01
54	3.652134e-02	3.133035e-02	3.317695e-01	1.481499e-01
55	4.060150e-02	3.579339e-02	3.490668e-01	1.593140e-01
56	4.518961e-02	4.071880e-02	3.677366e-01	1.707976e-01
57	5.032679e-02	4.613573e-02	3.877840e-01	1.825908e-01
58	5.605633e-02	5.207431e-02	4.092107e-01	1.946878e-01
59	6.242408e-02	5.856742e-02	4.320152e-01	2.070903e-01
60	6.947810e-02	6.565128e-02	4.561912e-01	2.198059e-01
61	7.726661e-02	7.336361e-02	4.817227e-01	2.328438e-01
62	8.584221e-02	8.174867e-02	5.085973e-01	2.462228e-01
63	9.526137e-02	9.085506e-02	5.368057e-01	2.599632e-01
64	1.055835e-01	1.007351e-01	5.663386e-01	2.740855e-01
65	1.168732e-01	1.114477e-01	5.971909e-01	2.886133e-01
66	1.291984e-01	1.230573e-01	6.293568e-01	3.035713e-01
67	1.426312e-01	1.356339e-01	6.628302e-01	3.189840e-01
68	1.572428e-01	1.492424e-01	6.975991e-01	3.348588e-01
69	1.730765e-01	1.639001e-01	7.336044e-01	3.511308e-01
70	1.901918e-01	1.796511e-01	7.708103e-01	3.677791e-01
71	2.086198e-01	1.964906e-01	8.091417e-01	3.847176e-01
72	2.284060e-01	2.144383e-01	8.485453e-01	4.019008e-01
73	2.496404e-01	2.335885e-01	8.890242e-01	4.193785e-01
74	2.724099e-01	2.540256e-01	9.305707e-01	4.371772e-01
75	2.968098e-01	2.758432e-01	9.731829e-01	4.553239e-01
76	3.229454e-01	2.991476e-01	1.016863e+00	4.738494e-01
77	3.509397e-01	3.240672e-01	1.061629e+00	4.927955e-01
78	3.809105e-01	3.507137e-01	1.107484e+00	5.121746e-01
79	4.129813e-01	3.792055e-01	1.154427e+00	5.319977e-01
80	4.473040e-01	4.097066e-01	1.202477e+00	5.523098e-01
81	4.839885e-01	4.423097e-01	1.251601e+00	5.730812e-01
82	5.231308e-01	4.770852e-01	1.301748e+00	5.942610e-01
83	5.648291e-01	5.141112e-01	1.352865e+00	6.158076e-01
84	6.092042e-01	5.534938e-01	1.404918e+00	6.376992e-01
85	6.564015e-01	5.953757e-01	1.457889e+00	6.599378e-01
86	7.065738e-01	6.399092e-01	1.511762e+00	6.825279e-01
87	7.598040e-01	6.871175e-01	1.566463e+00	7.053783e-01
88	8.161350e-01	7.369470e-01	1.621898e+00	7.283537e-01
89	8.756631e-01	7.894237e-01	1.678015e+00	7.513827e-01
90	9.384244e-01	8.444685e-01	1.734723e+00	7.743346e-01
91	1.004482e+00	9.020397e-01	1.791956e+00	7.971169e-01
92	1.073896e+00	9.620868e-01	1.849647e+00	8.196439e-01
93	1.146720e+00	1.024548e+00	1.907731e+00	8.418323e-01
94	1.223069e+00	1.089443e+00	1.966181e+00	8.636534e-01
95	1.303062e+00	1.156825e+00	2.024966e+00	8.850994e-01
96	1.386875e+00	1.226886e+00	2.084070e+00	9.062386e-01
97	1.474685e+00	1.299835e+00	2.143472e+00	9.271391e-01
98	1.566588e+00	1.375771e+00	2.203102e+00	9.478117e-01
99	1.662616e+00	1.454655e+00	2.262870e+00	9.682042e-01
100	1.762907e+00	1.536588e+00	2.322753e+00	9.883276e-01
101	1.867634e+00	1.621667e+00	2.382755e+00	1.008188e+00
102	1.976948e+00	1.709930e+00	2.442875e+00	1.027771e+00
103	2.091004e+00	1.801365e+00	2.503119e+00	1.047034e+00
104	2.210000e+00	1.895964e+00	2.563523e+00	1.065935e+00
105	2.334151e+00	1.993746e+00	2.624123e+00	1.084453e+00
106	2.463625e+00	2.094659e+00	2.684926e+00	1.102547e+00
107	2.598607e+00	2.198631e+00	2.745951e+00	1.120171e+00
108	2.739261e+00	2.305575e+00	2.807202e+00	1.137284e+00
109	2.885740e+00	2.415404e+00	2.868672e+00	1.153859e+00
110	3.038183e+00	2.528043e+00	2.930340e+00	1.169876e+00
111	3.196721e+00	2.643399e+00	2.992187e+00	1.185316e+00
112	3.361457e+00	2.761360e+00	3.054178e+00	1.200168e+00
113	3.532508e+00	2.881850e+00	3.116287e+00	1.214438e+00
114	3.709940e+00	3.004769e+00	3.178466e+00	1.228124e+00
115	3.893753e+00	3.130030e+00	3.240632e+00	1.241239e+00
116	4.083958e+00	3.257513e+00	3.302724e+00	1.253779e+00
117	4.280559e+00	3.387196e+00	3.364672e+00	1.265774e+00
118	4.483491e+00	3.519059e+00	3.426380e+00	1.277254e+00
119	4.692604e+00	3.653052e+00	3.487731e+00	1.288246e+00
120	4.907770e+00	3.789163e+00	3.548628e+00	1.298786e+00
121	5.128883e+00	3.927346e+00	3.608998e+00	1.308896e+00
122	5.355812e+00	4.067535e+00	3.668772e+00	1.318590e+00
123	5.588654e+00	4.209619e+00	3.727989e+00	1.327868e+00
124	5.827371e+00	4.353570e+00	3.786622e+00	1.336754e+00
125	6.072018e+00	4.499302e+00	3.844689e+00	1.345267e+00
126	6.322598e+00	4.646782e+00	3.902186e+00	1.353429e+00
127	6.578995e+00	4.796056e+00	3.959064e+00	1.361277e+00
128	6.841117e+00	4.947179e+00	4.015289e+00	1.368851e+00
129	7.109020e+00	5.100166e+00	4.070885e+00	1.376178e+00
130	7.382765e+00	5.255028e+00	4.125881e+00	1.383281e+00
131	7.662384e+00	5.411788e+00	4.180296e+00	1.390184e+00
132	7.947910e+00	5.570427e+00	4.234151e+00	1.396900e+00
133	8.239368e+00	5.730976e+00	4.287460e+00	1.403446e+00
134	8.536728e+00	5.893479e+00	4.340224e+00	1.409846e+00
135	8.840005e+00	6.058006e+00	4.392454e+00	1.416124e+00
136	9.149157e+00	6.224679e+00	4.444142e+00	1.422317e+00
137	9.464148e+00	6.393611e+00	4.495287e+00	1.428455e+00
138	9.784970e+00	6.564846e+00	4.545902e+00	1.434544e+00
139	1.011168e+01	6.738400e+00	4.596019e+00	1.440590e+00
140	1.044419e+01	6.914353e+00	4.645628e+00	1.446612e+00
141	1.078240e+01	7.092805e+00	4.694717e+00	1.452638e+00
142	1.112634e+01	7.273744e+00	4.743313e+00	1.458656e+00
143	1.147604e+01	7.457176e+00	4.791451e+00	1.464662e+00
144	1.183146e+01	7.643126e+00	4.839132e+00	1.470662e+00
145	1.219253e+01	7.831557e+00	4.886370e+00	1.476647e+00
146	1.255927e+01	8.022401e+00	4.933192e+00	1.482600e+00
147	1.293164e+01	8.215607e+00	4.979615e+00	1.488506e+00
148	1.330959e+01	8.411127e+00	5.025650e+00	1.494359e+00
149	1.369311e+01	8.608962e+00	5.071313e+00	1.500159e+00
