t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	2.131929e-04	1.089642e-04	1.769845e-02	4.138331e-03
1	1.385011e-04	7.509183e-05	1.479464e-02	3.205639e-03
2	1.092571e-04	5.890340e-05	1.374265e-02	2.990911e-03
3	9.743129e-05	5.243878e-05	1.350880e-02	2.968567e-03
4	9.333445e-05	5.010960e-05	1.371201e-02	3.053237e-03
5	9.334229e-05	4.975989e-05	1.417371e-02	3.200734e-03
6	9.558713e-05	5.018807e-05	1.477924e-02	3.379162e-03
7	9.897426e-05	5.066285e-05	1.544853e-02	3.566809e-03
8	1.028515e-04	5.081514e-05	1.612551e-02	3.749772e-03
9	1.068125e-04	5.051709e-05	1.677000e-02	3.917591e-03
10	1.105681e-04	4.974123e-05	1.735265e-02	4.061484e-03
11	1.139171e-04	4.853000e-05	1.785378e-02	4.175098e-03
12	1.167298e-04	4.696051e-05	1.826255e-02	4.254923e-03
13	1.189331e-04	4.511068e-05	1.857570e-02	4.300483e-03
14	1.205084e-04	4.305443e-05	1.879632e-02	4.313947e-03
15	1.214834e-04	4.085875e-05	1.893222e-02	4.299161e-03
16	1.219200e-04	3.857964e-05	1.899422e-02	4.260572e-03
17	1.219013e-04	3.626188e-05	1.899452e-02	4.202375e-03
18	1.215191e-04	3.394166e-05	1.894539e-02	4.128108e-03
19	1.208630e-04	3.164974e-05	1.885825e-02	4.040600e-03
20	1.200131e-04	2.941362e-05	1.874308e-02	3.942161e-03
21	1.190355e-04	2.725870e-05	1.860816e-02	3.834822e-03
22	1.179821e-04	2.520792e-05	1.846019e-02	3.720508e-03
23	1.168906e-04	2.328076e-05	1.830435e-02	3.601124e-03
24	1.157855e-04	2.149293e-05	1.814447e-02	3.478610e-03
25	1.146796e-04	1.985759e-05	1.798320e-02	3.354979e-03
26	1.135770e-04	1.838798e-05	1.782227e-02	3.232333e-03
27	1.124765e-04	1.709995e-05	1.766273e-02	3.112830e-03
28	1.113745e-04	1.601259e-05	1.750522e-02	2.998595e-03
29	1.102666e-04	1.514644e-05	1.735012e-02	2.891607e-03
30	1.091497e-04	1.451950e-05	1.719770e-02	2.793598e-03
31	1.080225e-04	1.414213e-05	1.704824e-02	2.705983e-03
32	1.068865e-04	1.401276e-05	1.690210e-02	2.629824e-03
33	1.057463e-04	1.411632e-05	1.675977e-02	2.565824e-03
34	1.046094e-04	1.442651e-05	1.662188e-02	2.514339e-03
35	1.034855e-04	1.491075e-05	1.648921e-02	2.475419e-03
36	1.023866e-04	1.553577e-05	1.636265e-02	2.448862e-03
37	1.013256e-04	1.627196e-05	1.624314e-02	2.434290e-03
38	1.003162e-04	1.709586e-05	1.613166e-02	2.431229e-03
39	9.937249e-05	1.799099e-05	1.602919e-02	2.439187e-03
40	9.850811e-05	1.894752e-05	1.593670e-02	2.457721e-03
41	9.773666e-05	1.996135e-05	1.585509e-02	2.486487e-03
42	9.707137e-05	2.103294e-05	1.578526e-02	2.525260e-03
43	9.652517e-05	2.216607e-05	1.572804e-02	2.573930e-03
44	9.611072e-05	2.336668e-05	1.568424e-02	2.632486e-03
45	9.584048e-05	2.464189e-05	1.565464e-02	2.700982e-03
46	9.572672e-05	2.599921e-05	1.563999e-02	2.779489e-03
47	9.578152e-05	2.744590e-05	1.564101e-02	2.868065e-03
48	9.601668e-05	2.898864e-05	1.565839e-02	2.966715e-03
49	9.644366e-05	3.063335e-05	1.569277e-02	3.075370e-03
50	9.707342e-05	3.238509e-05	1.574474e-02	3.193872e-03
51	9.791629e-05	3.424819e-05	1.581483e-02	3.321978e-03
52	9.898179e-05	3.622639e-05	1.590345e-02	3.459358e-03
53	1.002785e-04	3.832299e-05	1.601093e-02	3.605619e-03
54	1.018139e-04	4.054104e-05	1.613746e-02	3.760317e-03
55	1.035943e-04	4.288347e-05	1.628311e-02	3.922977e-03
56	1.056248e-04	4.535320e-05	1.644780e-02	4.093111e-03
57	1.079092e-04	4.795322e-05	1.663129e-02	4.270234e-03
58	1.104503e-04	5.068657e-05	1.683323e-02	4.453872e-03
59	1.132492e-04	5.355636e-05	1.705311e-02	4.643567e-03
60	1.163064e-04	5.656568e-05	1.729030e-02	4.838885e-03
61	1.196210e-04	5.971753e-05	1.754406e-02	5.039410e-03
62	1.231911e-04	6.301475e-05	1.781354e-02	5.244737e-03
63	1.270141e-04	6.645985e-05	1.809783e-02	5.454473e-03
64	1.310863e-04	7.005498e-05	1.839593e-02	5.668224e-03
65	1.354035e-04	7.380174e-05	1.870679e-02	5.885589e-03
66	1.399604e-04	7.770114e-05	1.902932e-02	6.106151e-03
67	1.447515e-04	8.175345e-05	1.936242e-02	6.329470e-03
68	1.497704e-04	8.595815e-05	1.970494e-02	6.555082e-03
69	1.550103e-04	9.031382e-05	2.005576e-02	6.782486e-03
70	1.604637e-04	9.481811e-05	2.041374e-02	7.011150e-03
71	1.661226e-04	9.946766e-05	2.077775e-02	7.240505e-03
72	1.719787e-04	1.042580e-04	2.114668e-02	7.469949e-03
73	1.780231e-04	1.091838e-04	2.151941e-02	7.698844e-03
74	1.842463e-04	1.142383e-04	2.189489e-02	7.926525e-03
75	1.906389e-04	1.194140e-04	2.227206e-02	8.152303e-03
76	1.971905e-04	1.247021e-04	2.264990e-02	8.375470e-03
77	2.038910e-04	1.300929e-04	2.302742e-02	8.595306e-03
78	2.107299e-04	1.355759e-04	2.340369e-02	8.811093e-03
79	2.176967e-04	1.411399e-04	2.377778e-02	9.022118e-03
80	2.247809e-04	1.467732e-04	2.414886e-02	9.227690e-03
81	2.319721e-04	1.524640e-04	2.451610e-02	9.427149e-03
82	2.392604e-04	1.582004e-04	2.487875e-02	9.619882e-03
83	2.466359e-04	1.639711e-04	2.523609e-02	9.805331e-03
84	2.540888e-04	1.697656e-04	2.558743e-02	9.983012e-03
85	2.616100e-04	1.755739e-04	2.593213e-02	1.015252e-02
86	2.691906e-04	1.813875e-04	2.626959e-02	1.031356e-02
87	2.768222e-04	1.871989e-04	2.659924e-02	1.046589e-02
88	2.844977e-04	1.930019e-04	2.692062e-02	1.060943e-02
89	2.922116e-04	1.987914e-04	2.723335e-02	1.074413e-02
90	2.999598e-04	2.045635e-04	2.753715e-02	1.087007e-02
91	3.077412e-04	2.103152e-04	2.783190e-02	1.098736e-02
92	3.155567e-04	2.160448e-04	2.811760e-02	1.109622e-02
93	3.234104e-04	2.217516e-04	2.839441e-02	1.119689e-02
94	3.313096e-04	2.274366e-04	2.866263e-02	1.128972e-02
95	3.392646e-04	2.331026e-04	2.892270e-02	1.137510e-02
96	3.472892e-04	2.387543e-04	2.917519e-02	1.145352e-02
97	3.554009e-04	2.443985e-04	2.942081e-02	1.152551e-02
98	3.636202e-04	2.500439e-04	2.966038e-02	1.159166e-02
99	3.719707e-04	2.557009e-04	2.989484e-02	1.165258e-02
100	3.804788e-04	2.613808e-04	3.012518e-02	1.170882e-02
101	3.891730e-04	2.670950e-04	3.035251e-02	1.176089e-02
102	3.980840e-04	2.728539e-04	3.057798e-02	1.180913e-02
103	4.072435e-04	2.786665e-04	3.080279e-02	1.185378e-02
104	4.166849e-04	2.845398e-04	3.102818e-02	1.189491e-02
105	4.264429e-04	2.904794e-04	3.125541e-02	1.193249e-02
106	4.365558e-04	2.964913e-04	3.148582e-02	1.196652e-02
107	4.470675e-04	3.025828e-04	3.172084e-02	1.199709e-02
108	4.580301e-04	3.087641e-04	3.196212e-02	1.202448e-02
109	4.695030e-04	3.150483e-04	3.221139e-02	1.204914e-02
110	4.815498e-04	3.214508e-04	3.247042e-02	1.207160e-02
111	4.942346e-04	3.279879e-04	3.274078e-02	1.209242e-02
112	5.076190e-04	3.346767e-04	3.302385e-02	1.211208e-02
113	5.217610e-04	3.415343e-04	3.332070e-02	1.213103e-02
114	5.367156e-04	3.485777e-04	3.363218e-02	1.214965e-02
115	5.525344e-04	3.558243e-04	3.395892e-02	1.216829e-02
116	5.692652e-04	3.632911e-04	3.430130e-02	1.218723e-02
117	5.869522e-04	3.709946e-04	3.465954e-02	1.220671e-02
118	6.056366e-04	3.789511e-04	3.503366e-02	1.222690e-02
119	6.253575e-04	3.871770e-04	3.542359e-02	1.224794e-02
120	6.461514e-04	3.956901e-04	3.582911e-02	1.226995e-02
121	6.680524e-04	4.045103e-04	3.624987e-02	1.229311e-02
122	6.910915e-04	4.136605e-04	3.668541e-02	1.231759e-02
123	7.152961e-04	4.231638e-04	3.713516e-02	1.234356e-02
124	7.406898e-04	4.330408e-04	3.759845e-02	1.237107e-02
125	7.672913e-04	4.433047e-04	3.807456e-02	1.240000e-02
126	7.951141e-04	4.539595e-04	3.856274e-02	1.243004e-02
127	8.241687e-04	4.650013e-04	3.906221e-02	1.246078e-02
128	8.544664e-04	4.764227e-04	3.957230e-02	1.249178e-02
129	8.860235e-04	4.882162e-04	4.009250e-02	1.252267e-02
130	9.188644e-04	5.003767e-04	4.062250e-02	1.255315e-02
131	9.530241e-04	5.129023e-04	4.116223e-02	1.258306e-02
132	9.885501e-04	5.257955e-04	4.171191e-02	1.261234e-02
133	1.025504e-03	5.390639e-04	4.227197e-02	1.264103e-02
134	1.063961e-03	5.527225e-04	4.284309e-02	1.266933e-02
135	1.104012e-03	5.667959e-04	4.342613e-02	1.269759e-02
136	1.145758e-03	5.813192e-04	4.402205e-02	1.272634e-02
137	1.189309e-03	5.963390e-04	4.463180e-02	1.275620e-02
138	1.234776e-03	6.119115e-04	4.525628e-02	1.278793e-02
139	1.282271e-03	6.280994e-04	4.589620e-02	1.282228e-02
140	1.331898e-03	6.449666e-04	4.655207e-02	1.285993e-02
141	1.383749e-03	6.625728e-04	4.722412e-02	1.290144e-02
142	1.437901e-03	6.809694e-04	4.791235e-02	1.294715e-02
143	1.494419e-03	7.001959e-04	4.861647e-02	1.299719e-02
144	1.553349e-03	7.202799e-04	4.933602e-02	1.305146e-02
145	1.614730e-03	7.412378e-04	5.007041e-02	1.310967e-02
146	1.678589e-03	7.630750e-04	5.081899e-02	1.317137e-02
147	1.744947e-03	7.857858e-04	5.158105e-02	1.323597e-02
148	1.813815e-03	8.093512e-04	5.235586e-02	1.330269e-02
149	1.885196e-03	8.337363e-04	5.314261e-02	1.337063e-02
150	1.959073e-03	8.588875e-04	5.394037e-02	1.343873e-02
151	2.035407e-03	8.847305e-04	5.474800e-02	1.350579e-02
152	2.114131e-03	9.111687e-04	5.556409e-02	1.357050e-02
153	2.195146e-03	9.380823e-04	5.638698e-02	1.363146e-02
154	2.278322e-03	9.653255e-04	5.721481e-02	1.368715e-02
155	2.363504e-03	9.927253e-04	5.804561e-02	1.373596e-02
156	2.450519e-03	1.020081e-03	5.887734e-02	1.377617e-02
157	2.539170e-03	1.047170e-03	5.970795e-02	1.380604e-02
158	2.629246e-03	1.073753e-03	6.053532e-02	1.382388e-02
159	2.720514e-03	1.099583e-03	6.135733e-02	1.382813e-02
160	2.812733e-03	1.124413e-03	6.217188e-02	1.381739e-02
161	2.905657e-03	1.148006e-03	6.297696e-02	1.379050e-02
162	2.999043e-03	1.170139e-03	6.377072e-02	1.374659e-02
163	3.092658e-03	1.190617e-03	6.455153e-02	1.368507e-02
164	3.186292e-03	1.209270e-03	6.531804e-02	1.360567e-02
165	3.279755e-03	1.225959e-03	6.606918e-02	1.350837e-02
166	3.372883e-03	1.240569e-03	6.680417e-02	1.339338e-02
167	3.465531e-03	1.253004e-03	6.752244e-02	1.326102e-02
168	3.557570e-03	1.263176e-03	6.822360e-02	1.311168e-02
169	3.648877e-03	1.271003e-03	6.890736e-02	1.294571e-02
170	3.739373e-03	1.276446e-03	6.957374e-02	1.276373e-02
171	3.829013e-03	1.279514e-03	7.022307e-02	1.256663e-02
172	3.917751e-03	1.280209e-03	7.085565e-02	1.235516e-02
173	4.005531e-03	1.278526e-03	7.147165e-02	1.212988e-02
174	4.092296e-03	1.274459e-03	7.207124e-02	1.189134e-02
175	4.177989e-03	1.268013e-03	7.265455e-02	1.164004e-02
176	4.262552e-03	1.259201e-03	7.322166e-02	1.137652e-02
177	4.345920e-03	1.248039e-03	7.377260e-02	1.110128e-02
178	4.428020e-03	1.234549e-03	7.430729e-02	1.081483e-02
179	4.508771e-03	1.218760e-03	7.482557e-02	1.051773e-02
180	4.588091e-03	1.200716e-03	7.532726e-02	1.021060e-02
181	4.665914e-03	1.180483e-03	7.581226e-02	9.894260e-03
182	4.742209e-03	1.158157e-03	7.628074e-02	9.569780e-03
183	4.816967e-03	1.133863e-03	7.673304e-02	9.238449e-03
184	4.890186e-03	1.107756e-03	7.716947e-02	8.901741e-03
185	4.961841e-03	1.080021e-03	7.759016e-02	8.561291e-03
186	5.031883e-03	1.050882e-03	7.799498e-02	8.218926e-03
187	5.100282e-03	1.020597e-03	7.838401e-02	7.876752e-03
188	5.167036e-03	9.894582e-04	7.875747e-02	7.537099e-03
189	5.232146e-03	9.577841e-04	7.911565e-02	7.202468e-03
190	5.295599e-03	9.259323e-04	7.945871e-02	6.875551e-03
191	5.357381e-03	8.943061e-04	7.978679e-02	6.559284e-03
192	5.417491e-03	8.633556e-04	8.010014e-02	6.256864e-03
193	5.475949e-03	8.335614e-04	8.039916e-02	5.971626e-03
