t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	2.099345e-04	1.067372e-04	1.756600e-02	4.186297e-03
1	1.358147e-04	6.949992e-05	1.471382e-02	3.229464e-03
2	1.090530e-04	5.446407e-05	1.380071e-02	3.069656e-03
3	9.899192e-05	4.924600e-05	1.367805e-02	3.099200e-03
4	9.596103e-05	4.831825e-05	1.393624e-02	3.222096e-03
5	9.643740e-05	4.953783e-05	1.439078e-02	3.382458e-03
6	9.876155e-05	5.181156e-05	1.493786e-02	3.540362e-03
7	1.019650e-04	5.445669e-05	1.550908e-02	3.670139e-03
8	1.053779e-04	5.696065e-05	1.605517e-02	3.757380e-03
9	1.085466e-04	5.896719e-05	1.654310e-02	3.797311e-03
10	1.112123e-04	6.030369e-05	1.695462e-02	3.792586e-03
11	1.132545e-04	6.093374e-05	1.728237e-02	3.750083e-03
12	1.146507e-04	6.090952e-05	1.752713e-02	3.678515e-03
13	1.154293e-04	6.031144e-05	1.769452e-02	3.585886e-03
14	1.156421e-04	5.921667e-05	1.779270e-02	3.477963e-03
15	1.153555e-04	5.769578e-05	1.783115e-02	3.358096e-03
16	1.146438e-04	5.580963e-05	1.781978e-02	3.227577e-03
17	1.135819e-04	5.360709e-05	1.776812e-02	3.086204e-03
18	1.122403e-04	5.112643e-05	1.768476e-02	2.932998e-03
19	1.106834e-04	4.840032e-05	1.757709e-02	2.766991e-03
20	1.089704e-04	4.546251e-05	1.745132e-02	2.587904e-03
21	1.071566e-04	4.235299e-05	1.731263e-02	2.396578e-03
22	1.052946e-04	3.912009e-05	1.716541e-02	2.195108e-03
23	1.034330e-04	3.581980e-05	1.701342e-02	1.986757e-03
24	1.016151e-04	3.251302e-05	1.685980e-02	1.775693e-03
25	9.987635e-05	2.926232e-05	1.670713e-02	1.566666e-03
26	9.824347e-05	2.612919e-05	1.655748e-02	1.364720e-03
27	9.673448e-05	2.317202e-05	1.641247e-02	1.174998e-03
28	9.535948e-05	2.044498e-05	1.627332e-02	1.002677e-03
29	9.412200e-05	1.799715e-05	1.614101e-02	8.529910e-04
30	9.302054e-05	1.587161e-05	1.601627e-02	7.311522e-04
31	9.205023e-05	1.410342e-05	1.589969e-02	6.417558e-04
32	9.120432e-05	1.271538e-05	1.579174e-02	5.871522e-04
33	9.047541e-05	1.171131e-05	1.569281e-02	5.653397e-04
34	8.985643e-05	1.106970e-05	1.560324e-02	5.696145e-04
35	8.934119e-05	1.074292e-05	1.552336e-02	5.910740e-04
36	8.892479e-05	1.066542e-05	1.545344e-02	6.217014e-04
37	8.860381e-05	1.076726e-05	1.539378e-02	6.558008e-04
38	8.837631e-05	1.098609e-05	1.534468e-02	6.899347e-04
39	8.824176e-05	1.127317e-05	1.530643e-02	7.223258e-04
40	8.820093e-05	1.159409e-05	1.527932e-02	7.522739e-04
41	8.825566e-05	1.192650e-05	1.526366e-02	7.797248e-04
42	8.840874e-05	1.225717e-05	1.525975e-02	8.049825e-04
43	8.866369e-05	1.257911e-05	1.526790e-02	8.285231e-04
44	8.902464e-05	1.288946e-05	1.528842e-02	8.508776e-04
45	8.949609e-05	1.318786e-05	1.532157e-02	8.725624e-04
46	9.008288e-05	1.347539e-05	1.536765e-02	8.940426e-04
47	9.078996e-05	1.375397e-05	1.542690e-02	9.157183e-04
48	9.162236e-05	1.402595e-05	1.549953e-02	9.379284e-04
49	9.258499e-05	1.429399e-05	1.558573e-02	9.609655e-04
50	9.368262e-05	1.456109e-05	1.568563e-02	9.850968e-04
51	9.491976e-05	1.483073e-05	1.579932e-02	1.010589e-03
52	9.630061e-05	1.510701e-05	1.592680e-02	1.037729e-03
53	9.782899e-05	1.539491e-05	1.606803e-02	1.066849e-03
54	9.950834e-05	1.570053e-05	1.622290e-02	1.098331e-03
55	1.013417e-04	1.603124e-05	1.639122e-02	1.132620e-03
56	1.033316e-04	1.639582e-05	1.657274e-02	1.170218e-03
57	1.054802e-04	1.680458e-05	1.676715e-02	1.211674e-03
58	1.077895e-04	1.726924e-05	1.697407e-02	1.257570e-03
59	1.102610e-04	1.780282e-05	1.719308e-02	1.308493e-03
60	1.128958e-04	1.841929e-05	1.742371e-02	1.365019e-03
61	1.156952e-04	1.913321e-05	1.766546e-02	1.427682e-03
62	1.186602e-04	1.995917e-05	1.791780e-02	1.496954e-03
63	1.217916e-04	2.091132e-05	1.818019e-02	1.573228e-03
64	1.250906e-04	2.200277e-05	1.845206e-02	1.656801e-03
65	1.285582e-04	2.324523e-05	1.873288e-02	1.747870e-03
66	1.321955e-04	2.464862e-05	1.902207e-02	1.846526e-03
67	1.360041e-04	2.622093e-05	1.931910e-02	1.952752e-03
68	1.399854e-04	2.796811e-05	1.962344e-02	2.066430e-03
69	1.441412e-04	2.989414e-05	1.993456e-02	2.187345e-03
70	1.484732e-04	3.200113e-05	2.025196e-02	2.315189e-03
71	1.529834e-04	3.428948e-05	2.057513e-02	2.449572e-03
72	1.576737e-04	3.675803e-05	2.090359e-02	2.590027e-03
73	1.625462e-04	3.940422e-05	2.123687e-02	2.736020e-03
74	1.676028e-04	4.222424e-05	2.157449e-02	2.886958e-03
75	1.728452e-04	4.521318e-05	2.191601e-02	3.042200e-03
76	1.782752e-04	4.836511e-05	2.226097e-02	3.201063e-03
77	1.838942e-04	5.167322e-05	2.260891e-02	3.362834e-03
78	1.897037e-04	5.512991e-05	2.295940e-02	3.526781e-03
79	1.957045e-04	5.872693e-05	2.331200e-02	3.692162e-03
80	2.018975e-04	6.245546e-05	2.366627e-02	3.858236e-03
81	2.082830e-04	6.630626e-05	2.402176e-02	4.024274e-03
82	2.148608e-04	7.026985e-05	2.437801e-02	4.189574e-03
83	2.216301e-04	7.433666e-05	2.473454e-02	4.353469e-03
84	2.285890e-04	7.849726e-05	2.509085e-02	4.515346e-03
85	2.357346e-04	8.274261e-05	2.544637e-02	4.674655e-03
86	2.430625e-04	8.706430e-05	2.580050e-02	4.830930e-03
87	2.505670e-04	9.145482e-05	2.615258e-02	4.983793e-03
88	2.582411e-04	9.590775e-05	2.650190e-02	5.132967e-03
89	2.660764e-04	1.004179e-04	2.684775e-02	5.278273e-03
90	2.740642e-04	1.049814e-04	2.718937e-02	5.419634e-03
91	2.821952e-04	1.095955e-04	2.752607e-02	5.557058e-03
92	2.904604e-04	1.142587e-04	2.785716e-02	5.690631e-03
93	2.988512e-04	1.189703e-04	2.818206e-02	5.820499e-03
94	3.073602e-04	1.237304e-04	2.850022e-02	5.946853e-03
95	3.159805e-04	1.285394e-04	2.881119e-02	6.069912e-03
96	3.247062e-04	1.333983e-04	2.911459e-02	6.189908e-03
97	3.335318e-04	1.383076e-04	2.941009e-02	6.307072e-03
98	3.424526e-04	1.432680e-04	2.969742e-02	6.421611e-03
99	3.514640e-04	1.482796e-04	2.997635e-02	6.533706e-03
100	3.605621e-04	1.533420e-04	3.024672e-02	6.643492e-03
101	3.697437e-04	1.584542e-04	3.050842e-02	6.751066e-03
102	3.790067e-04	1.636149e-04	3.076144e-02	6.856486e-03
103	3.883512e-04	1.688229e-04	3.100586e-02	6.959788e-03
104	3.977795e-04	1.740770e-04	3.124190e-02	7.060992e-03
105	4.072972e-04	1.793766e-04	3.146991e-02	7.160110e-03
106	4.169134e-04	1.847221e-04	3.169040e-02	7.257152e-03
107	4.266409e-04	1.901144e-04	3.190400e-02	7.352125e-03
108	4.364954e-04	1.955561e-04	3.211145e-02	7.445028e-03
109	4.464952e-04	2.010510e-04	3.231356e-02	7.535868e-03
110	4.566610e-04	2.066049e-04	3.251118e-02	7.624657e-03
111	4.670172e-04	2.122250e-04	3.270529e-02	7.711433e-03
112	4.775936e-04	2.179204e-04	3.289700e-02	7.796263e-03
113	4.884264e-04	2.237010e-04	3.308762e-02	7.879234e-03
114	4.995586e-04	2.295775e-04	3.327863e-02	7.960444e-03
115	5.110392e-04	2.355619e-04	3.347164e-02	8.039987e-03
116	5.229218e-04	2.416671e-04	3.366832e-02	8.117961e-03
117	5.352632e-04	2.479073e-04	3.387035e-02	8.194476e-03
118	5.481229e-04	2.542984e-04	3.407936e-02	8.269664e-03
119	5.615619e-04	2.608577e-04	3.429693e-02	8.343671e-03
120	5.756415e-04	2.676036e-04	3.452450e-02	8.416656e-03
121	5.904229e-04	2.745556e-04	3.476340e-02	8.488781e-03
122	6.059663e-04	2.817336e-04	3.501479e-02	8.560212e-03
123	6.223296e-04	2.891585e-04	3.527965e-02	8.631118e-03
124	6.395675e-04	2.968511e-04	3.555875e-02	8.701660e-03
125	6.577305e-04	3.048317e-04	3.585265e-02	8.771970e-03
126	6.768639e-04	3.131177e-04	3.616168e-02	8.842124e-03
127	6.970069e-04	3.217228e-04	3.648596e-02	8.912110e-03
128	7.181930e-04	3.306560e-04	3.682542e-02	8.981824e-03
129	7.404512e-04	3.399224e-04	3.717984e-02	9.051092e-03
130	7.638079e-04	3.495248e-04	3.754893e-02	9.119691e-03
131	7.882889e-04	3.594642e-04	3.793237e-02	9.187377e-03
132	8.139216e-04	3.697415e-04	3.832989e-02	9.253907e-03
133	8.407366e-04	3.803579e-04	3.874127e-02	9.319057e-03
134	8.687691e-04	3.913152e-04	3.916641e-02	9.382634e-03
135	8.980595e-04	4.026165e-04	3.960527e-02	9.444492e-03
136	9.286543e-04	4.142663e-04	4.005796e-02	9.504541e-03
137	9.606062e-04	4.262710e-04	4.052466e-02	9.562754e-03
138	9.939736e-04	4.386388e-04	4.100560e-02	9.619170e-03
139	1.028820e-03	4.513801e-04	4.150111e-02	9.673885e-03
140	1.065214e-03	4.645061e-04	4.201151e-02	9.727024e-03
141	1.103227e-03	4.780287e-04	4.253715e-02	9.778724e-03
142	1.142932e-03	4.919592e-04	4.307835e-02	9.829109e-03
143	1.184402e-03	5.063076e-04	4.363535e-02	9.878278e-03
144	1.227708e-03	5.210818e-04	4.420832e-02	9.926303e-03
145	1.272914e-03	5.362862e-04	4.479728e-02	9.973217e-03
146	1.320082e-03	5.519202e-04	4.540216e-02	1.001899e-02
147	1.369266e-03	5.679744e-04	4.602278e-02	1.006345e-02
148	1.420519e-03	5.844268e-04	4.665897e-02	1.010626e-02
