t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	2.191255e-04	1.116223e-04	1.794351e-02	4.178738e-03
1	1.464921e-04	7.706061e-05	1.533495e-02	3.373482e-03
2	1.205969e-04	5.737922e-05	1.480605e-02	3.622061e-03
3	1.146384e-04	4.985268e-05	1.529218e-02	4.432320e-03
4	1.174751e-04	4.903357e-05	1.628736e-02	5.563929e-03
5	1.249602e-04	5.287629e-05	1.754599e-02	6.831474e-03
6	1.350645e-04	5.973417e-05	1.892600e-02	8.113739e-03
7	1.466093e-04	6.819154e-05	2.033638e-02	9.329623e-03
8	1.587898e-04	7.717432e-05	2.171294e-02	1.042154e-02
9	1.709769e-04	8.590782e-05	2.300696e-02	1.134761e-02
10	1.826665e-04	9.386586e-05	2.418245e-02	1.208218e-02
11	1.934699e-04	1.007316e-04	2.521551e-02	1.261638e-02
12	2.031026e-04	1.063601e-04	2.609315e-02	1.295682e-02
13	2.113544e-04	1.107232e-04	2.681041e-02	1.312115e-02
14	2.180974e-04	1.138867e-04	2.736955e-02	1.313457e-02
15	2.232792e-04	1.159783e-04	2.777828e-02	1.302580e-02
16	2.269059e-04	1.171534e-04	2.804764e-02	1.282352e-02
17	2.290294e-04	1.175679e-04	2.819043e-02	1.255362e-02
18	2.297337e-04	1.173580e-04	2.821993e-02	1.223763e-02
19	2.291252e-04	1.166303e-04	2.814923e-02	1.189212e-02
20	2.273317e-04	1.154613e-04	2.799119e-02	1.152897e-02
21	2.245009e-04	1.139022e-04	2.775859e-02	1.115609e-02
22	2.207949e-04	1.119877e-04	2.746409e-02	1.077851e-02
23	2.163787e-04	1.097438e-04	2.711981e-02	1.039943e-02
24	2.114102e-04	1.071916e-04	2.673699e-02	1.002087e-02
25	2.060331e-04	1.043509e-04	2.632578e-02	9.644134e-03
26	2.003741e-04	1.012433e-04	2.589511e-02	9.270170e-03
27	1.945428e-04	9.789516e-05	2.545276e-02	8.899792e-03
28	1.886338e-04	9.433907e-05	2.500547e-02	8.533856e-03
29	1.827292e-04	9.061462e-05	2.455914e-02	8.173361e-03
30	1.769019e-04	8.676802e-05	2.411904e-02	7.819531e-03
31	1.712183e-04	8.285123e-05	2.369000e-02	7.473866e-03
32	1.657398e-04	7.892063e-05	2.327653e-02	7.138164e-03
33	1.605233e-04	7.503543e-05	2.288292e-02	6.814516e-03
34	1.556201e-04	7.125591e-05	2.251311e-02	6.505286e-03
35	1.510741e-04	6.764173e-05	2.217060e-02	6.213059e-03
36	1.469213e-04	6.425004e-05	2.185836e-02	5.940564e-03
37	1.431894e-04	6.113352e-05	2.157877e-02	5.690561e-03
38	1.398983e-04	5.833843e-05	2.133365e-02	5.465689e-03
39	1.370610e-04	5.590290e-05	2.112432e-02	5.268296e-03
40	1.346848e-04	5.385569e-05	2.095164e-02	5.100278e-03
41	1.327721e-04	5.221568e-05	2.081610e-02	4.962933e-03
42	1.313216e-04	5.099207e-05	2.071782e-02	4.856884e-03
43	1.303283e-04	5.018538e-05	2.065663e-02	4.782054e-03
44	1.297852e-04	4.978896e-05	2.063207e-02	4.737714e-03
45	1.296828e-04	4.979094e-05	2.064339e-02	4.722592e-03
46	1.300101e-04	5.017609e-05	2.068965e-02	4.735004e-03
47	1.307547e-04	5.092747e-05	2.076965e-02	4.772997e-03
48	1.319031e-04	5.202758e-05	2.088202e-02	4.834480e-03
49	1.334407e-04	5.345906e-05	2.102522e-02	4.917320e-03
50	1.353522e-04	5.520486e-05	2.119761e-02	5.019411e-03
51	1.376216e-04	5.724822e-05	2.139744e-02	5.138715e-03
52	1.402324e-04	5.957237e-05	2.162288e-02	5.273282e-03
53	1.431677e-04	6.216024e-05	2.187210e-02	5.421257e-03
54	1.464103e-04	6.499418e-05	2.214326e-02	5.580881e-03
55	1.499428e-04	6.805579e-05	2.243454e-02	5.750489e-03
56	1.537480e-04	7.132583e-05	2.274418e-02	5.928500e-03
57	1.578088e-04	7.478421e-05	2.307047e-02	6.113419e-03
58	1.621086e-04	7.841006e-05	2.341177e-02	6.303828e-03
59	1.666311e-04	8.218185e-05	2.376655e-02	6.498379e-03
60	1.713609e-04	8.607756e-05	2.413337e-02	6.695794e-03
61	1.762833e-04	9.007484e-05	2.451087e-02	6.894856e-03
62	1.813845e-04	9.415117e-05	2.489784e-02	7.094405e-03
63	1.866519e-04	9.828406e-05	2.529312e-02	7.293332e-03
64	1.920737e-04	1.024512e-04	2.569567e-02	7.490574e-03
65	1.976394e-04	1.066304e-04	2.610456e-02	7.685115e-03
66	2.033394e-04	1.108002e-04	2.651892e-02	7.875976e-03
67	2.091654e-04	1.149395e-04	2.693797e-02	8.062219e-03
68	2.151101e-04	1.190278e-04	2.736102e-02	8.242944e-03
69	2.211673e-04	1.230454e-04	2.778741e-02	8.417288e-03
70	2.273318e-04	1.269734e-04	2.821655e-02	8.584429e-03
71	2.335992e-04	1.307938e-04	2.864791e-02	8.743584e-03
72	2.399661e-04	1.344893e-04	2.908096e-02	8.894015e-03
73	2.464297e-04	1.380439e-04	2.951522e-02	9.035030e-03
74	2.529882e-04	1.414423e-04	2.995023e-02	9.165986e-03
75	2.596400e-04	1.446704e-04	3.038555e-02	9.286293e-03
76	2.663843e-04	1.477151e-04	3.082071e-02	9.395418e-03
77	2.732206e-04	1.505646e-04	3.125528e-02	9.492888e-03
78	2.801489e-04	1.532079e-04	3.168881e-02	9.578293e-03
79	2.871692e-04	1.556356e-04	3.212085e-02	9.651289e-03
80	2.942821e-04	1.578391e-04	3.255094e-02	9.711603e-03
81	3.014878e-04	1.598115e-04	3.297859e-02	9.759037e-03
82	3.087871e-04	1.615470e-04	3.340333e-02	9.793471e-03
83	3.161802e-04	1.630414e-04	3.382464e-02	9.814874e-03
84	3.236678e-04	1.642924e-04	3.424202e-02	9.823312e-03
85	3.312501e-04	1.652994e-04	3.465492e-02	9.818954e-03
86	3.389273e-04	1.660643e-04	3.506282e-02	9.802091e-03
87	3.466998e-04	1.665915e-04	3.546516e-02	9.773145e-03
88	3.545677e-04	1.668884e-04	3.586139e-02	9.732683e-03
89	3.625315e-04	1.669662e-04	3.625097e-02	9.681431e-03
90	3.705917e-04	1.668398e-04	3.663339e-02	9.620282e-03
91	3.787493e-04	1.665286e-04	3.700813e-02	9.550299e-03
92	3.870057e-04	1.660566e-04	3.737474e-02	9.472720e-03
93	3.953631e-04	1.654530e-04	3.773281e-02	9.388946e-03
94	4.038244e-04	1.647517e-04	3.808197e-02	9.300534e-03
95	4.123936e-04	1.639921e-04	3.842195e-02	9.209181e-03
96	4.210764e-04	1.632183e-04	3.875256e-02	9.116698e-03
97	4.298800e-04	1.624791e-04	3.907374e-02	9.024981e-03
98	4.388134e-04	1.618265e-04	3.938551e-02	8.935964e-03
99	4.478878e-04	1.613146e-04	3.968804e-02	8.851565e-03
100	4.571153e-04	1.609978e-04	3.998159e-02	8.773610e-03
101	4.665090e-04	1.609279e-04	4.026648e-02	8.703768e-03
102	4.760819e-04	1.611527e-04	4.054309e-02	8.643481e-03
103	4.858467e-04	1.617138e-04	4.081183e-02	8.593924e-03
104	4.958153e-04	1.626456e-04	4.107310e-02	8.555977e-03
105	5.059984e-04	1.639745e-04	4.132733e-02	8.530212e-03
106	5.164059e-04	1.657186e-04	4.157493e-02	8.516906e-03
107	5.270471e-04	1.678888e-04	4.181630e-02	8.516079e-03
108	5.379325e-04	1.704901e-04	4.205195e-02	8.527557e-03
109	5.490783e-04	1.735232e-04	4.228257e-02	8.551020e-03
110	5.605094e-04	1.769846e-04	4.250920e-02	8.586005e-03
111	5.722588e-04	1.808647e-04	4.273313e-02	8.631860e-03
112	5.843629e-04	1.851470e-04	4.295578e-02	8.687700e-03
113	5.968555e-04	1.898084e-04	4.317840e-02	8.752439e-03
114	6.097652e-04	1.948219e-04	4.340201e-02	8.824869e-03
115	6.231156e-04	2.001596e-04	4.362743e-02	8.903753e-03
116	6.369280e-04	2.057947e-04	4.385533e-02	8.987887e-03
117	6.512225e-04	2.117025e-04	4.408630e-02	9.076139e-03
118	6.660188e-04	2.178612e-04	4.432089e-02	9.167476e-03
119	6.813365e-04	2.242527e-04	4.455957e-02	9.260990e-03
120	6.971961e-04	2.308631e-04	4.480280e-02	9.355904e-03
121	7.136188e-04	2.376822e-04	4.505104e-02	9.451581e-03
122	7.306270e-04	2.447042e-04	4.530470e-02	9.547519e-03
123	7.482434e-04	2.519271e-04	4.556419e-02	9.643345e-03
124	7.664910e-04	2.593521e-04	4.582984e-02	9.738793e-03
125	7.853929e-04	2.669833e-04	4.610198e-02	9.833679e-03
126	8.049718e-04	2.748261e-04	4.638089e-02	9.927862e-03
127	8.252506e-04	2.828863e-04	4.666683e-02	1.002121e-02
128	8.462513e-04	2.911685e-04	4.696000e-02	1.011355e-02
129	8.679953e-04	2.996757e-04	4.726060e-02	1.020467e-02
130	8.905030e-04	3.084085e-04	4.756878e-02	1.029429e-02
131	9.137941e-04	3.173643e-04	4.788466e-02	1.038203e-02
132	9.378872e-04	3.265368e-04	4.820836e-02	1.046746e-02
133	9.627999e-04	3.359153e-04	4.853993e-02	1.055006e-02
134	9.885483e-04	3.454841e-04	4.887942e-02	1.062925e-02
135	1.015147e-03	3.552241e-04	4.922682e-02	1.070444e-02
136	1.042610e-03	3.651137e-04	4.958211e-02	1.077503e-02
137	1.070953e-03	3.751311e-04	4.994526e-02	1.084052e-02
138	1.100190e-03	3.852558e-04	5.031627e-02	1.090046e-02
139	1.130340e-03	3.954696e-04	5.069515e-02	1.095456e-02
140	1.161427e-03	4.057567e-04	5.108199e-02	1.100259e-02
141	1.193475e-03	4.161037e-04	5.147693e-02	1.104443e-02
142	1.226514e-03	4.264992e-04	5.188016e-02	1.108002e-02
143	1.260573e-03	4.369335e-04	5.229182e-02	1.110938e-02
144	1.295683e-03	4.473993e-04	5.271203e-02	1.113262e-02
145	1.331867e-03	4.578913e-04	5.314078e-02	1.114994e-02
146	1.369144e-03	4.684065e-04	5.357794e-02	1.116163e-02
147	1.407527e-03	4.789445e-04	5.402323e-02	1.116805e-02
148	1.447022e-03	4.895081e-04	5.447624e-02	1.116969e-02
149	1.487623e-03	5.001053e-04	5.493642e-02	1.116714e-02
150	1.529322e-03	5.107497e-04	5.540310e-02	1.116109e-02
151	1.572096e-03	5.214615e-04	5.587545e-02	1.115235e-02
152	1.615918e-03	5.322673e-04	5.635258e-02	1.114181e-02
153	1.660748e-03	5.431987e-04	5.683344e-02	1.113038e-02
154	1.706540e-03	5.542906e-04	5.731697e-02	1.111895e-02
155	1.753240e-03	5.655771e-04	5.780205e-02	1.110830e-02
156	1.800790e-03	5.770882e-04	5.828759e-02	1.109905e-02
157	1.849128e-03	5.888454e-04	5.877257e-02	1.109160e-02
158	1.898193e-03	6.008598e-04	5.925605e-02	1.108612e-02
159	1.947923e-03	6.131317e-04	5.973722e-02	1.108255e-02
160	1.998262e-03	6.256528e-04	6.021541e-02	1.108076e-02
161	2.049156e-03	6.384081e-04	6.069008e-02	1.108054e-02
162	2.100562e-03	6.513798e-04	6.116086e-02	1.108171e-02
163	2.152443e-03	6.645486e-04	6.162754e-02	1.108417e-02
164	2.204775e-03	6.778947e-04	6.209010e-02	1.108786e-02
165	2.257544e-03	6.913983e-04	6.254865e-02	1.109278e-02
166	2.310742e-03	7.050391e-04	6.300343e-02	1.109893e-02
167	2.364371e-03	7.187941e-04	6.345477e-02	1.110626e-02
168	2.418437e-03	7.326346e-04	6.390303e-02	1.111463e-02
169	2.472947e-03	7.465211e-04	6.434859e-02	1.112376e-02
170	2.527908e-03	7.603975e-04	6.479183e-02	1.113313e-02
171	2.583326e-03	7.741891e-04	6.523306e-02	1.114202e-02
172	2.639205e-03	7.878045e-04	6.567258e-02	1.114957e-02
173	2.695552e-03	8.011462e-04	6.611069e-02	1.115485e-02
174	2.752382e-03	8.141309e-04	6.654777e-02	1.115717e-02
175	2.809736e-03	8.267156e-04	6.698441e-02	1.115625e-02
176	2.867680e-03	8.389133e-04	6.742138e-02	1.115240e-02
177	2.926299e-03	8.507855e-04	6.785959e-02	1.114643e-02
178	2.985682e-03	8.624228e-04	6.829990e-02	1.113941e-02
179	3.045908e-03	8.739259e-04	6.874299e-02	1.113247e-02
180	3.107037e-03	8.853944e-04	6.918928e-02	1.112674e-02
181	3.169112e-03	8.969252e-04	6.963899e-02	1.112331e-02
182	3.232159e-03	9.086159e-04	7.009211e-02	1.112327e-02
183	3.296193e-03	9.205687e-04	7.054853e-02	1.112771e-02
184	3.361220e-03	9.328933e-04	7.100803e-02	1.113779e-02
185	3.427240e-03	9.457080e-04	7.147034e-02	1.115466e-02
186	3.494250e-03	9.591389e-04	7.193513e-02	1.117950e-02
187	3.562243e-03	9.733165e-04	7.240210e-02	1.121345e-02
188	3.631210e-03	9.883698e-04	7.287090e-02	1.125752e-02
189	3.701140e-03	1.004421e-03	7.334122e-02	1.131255e-02
190	3.772020e-03	1.021585e-03	7.381276e-02	1.137920e-02
191	3.843828e-03	1.039977e-03	7.428512e-02	1.145804e-02
192	3.916523e-03	1.059718e-03	7.475781e-02	1.154961e-02
193	3.990045e-03	1.080949e-03	7.523010e-02	1.165458e-02
194	4.064304e-03	1.103838e-03	7.570103e-02	1.177383e-02
195	4.139189e-03	1.128574e-03	7.616944e-02	1.190838e-02
196	4.214583e-03	1.155345e-03	7.663419e-02	1.205918e-02
197	4.290372e-03	1.184325e-03	7.709421e-02	1.222694e-02
198	4.366447e-03	1.215663e-03	7.754857e-02	1.241211e-02
