k,t,l2,pred_x,pred_y,ref_x,ref_y
0,0,0,0.371378,1.37706,0.371378,1.37706
1,0.1,4.1259e-05,0.512747,1.44647,0.512772,1.44644
2,0.2,0.000127693,0.659571,1.48409,0.659605,1.48397
3,0.3,0.000221615,0.808122,1.47906,0.80814,1.47884
4,0.4,0.000275084,0.953695,1.42332,0.953677,1.42305
5,0.5,0.000288561,1.09104,1.31459,1.09098,1.31431
6,0.6,0.000283654,1.21504,1.15816,1.21494,1.1579
7,0.7,0.000252661,1.32149,0.966311,1.32137,0.96609
8,0.8,0.000184067,1.40765,0.755313,1.40752,0.755178
9,0.9,0.000122273,1.47243,0.541483,1.47232,0.541438
10,1,0.000105571,1.51626,0.337821,1.51615,0.337798
11,1.1,0.000141619,1.5406,0.152396,1.54049,0.152307
12,1.2,0.000252116,1.54748,-0.0114879,1.54733,-0.0116963
13,1.3,0.000384966,1.53905,-0.154087,1.53886,-0.154419
14,1.4,0.000504132,1.51734,-0.277821,1.51708,-0.278252
15,1.5,0.000600286,1.48406,-0.386143,1.48372,-0.386642
16,1.6,0.000676918,1.44055,-0.482803,1.44014,-0.483346
17,1.7,0.000742832,1.38779,-0.571454,1.38732,-0.572032
18,1.8,0.000810367,1.32641,-0.655498,1.32589,-0.656117
19,1.9,0.000896769,1.25672,-0.738072,1.25615,-0.738759
20,2,0.00102679,1.17872,-0.822118,1.17809,-0.822926
21,2.1,0.00123408,1.09212,-0.910477,1.09141,-0.911488
22,2.2,0.00155768,0.996359,-1.006,0.995547,-1.00732
23,2.3,0.00203107,0.890578,-1.1116,0.889609,-1.11339
24,2.4,0.00266426,0.77362,-1.23033,0.772427,-1.23271
25,2.5,0.00342319,0.644018,-1.36519,0.642524,-1.36827
26,2.6,0.00422206,0.500014,-1.51881,0.498145,-1.5226
27,2.7,0.00496087,0.339633,-1.69253,0.337335,-1.69692
28,2.8,0.00561278,0.160907,-1.88468,0.158144,-1.88957
29,2.9,0.00622171,-0.0377057,-2.08806,-0.0409608,-2.09336
30,3,0.00658207,-0.2566,-2.28662,-0.260371,-2.29201
31,3.1,0.00600744,-0.493993,-2.45251,-0.498248,-2.45675
32,3.2,0.00474382,-0.74465,-2.54522,-0.749226,-2.54647
33,3.3,0.00496607,-0.998941,-2.51832,-1.00353,-2.51642
34,3.4,0.0050967,-1.24326,-2.34024,-1.2475,-2.33742
35,3.5,0.00459418,-1.46247,-2.01923,-1.46624,-2.01662
36,3.6,0.00488984,-1.64429,-1.60524,-1.64767,-1.60171
37,3.7,0.00566832,-1.78279,-1.1655,-1.78572,-1.16065
38,3.8,0.00569261,-1.8785,-0.757311,-1.88091,-0.752156
39,3.9,0.00520582,-1.93642,-0.413687,-1.93836,-0.408853
40,4,0.0045577,-1.96364,-0.142565,-1.96512,-0.138257
41,4.1,0.00366945,-1.96711,0.0638356,-1.96818,0.0673459
42,4.2,0.0026538,-1.95266,0.21887,-1.95337,0.221425
43,4.3,0.00173826,-1.9247,0.335877,-1.92516,0.337555
44,4.4,0.00105272,-1.88646,0.426076,-1.88674,0.42709
45,4.5,0.000614932,-1.84016,0.498144,-1.84033,0.498733
46,4.6,0.000385881,-1.78725,0.55852,-1.78738,0.558885
47,4.7,0.00030936,-1.72869,0.611913,-1.72878,0.612206
48,4.8,0.000332016,-1.66497,0.661808,-1.66505,0.66213
