k,t,l2,pred_x,pred_y,ref_x,ref_y
0,0,0,0.371378,1.37706,0.371378,1.37706
1,0.1,0.000179641,0.512767,1.44626,0.512772,1.44644
2,0.2,0.000497006,0.659564,1.48347,0.659605,1.48397
3,0.3,0.00079025,0.808023,1.47806,0.80814,1.47884
4,0.4,0.000916979,0.953443,1.42216,0.953677,1.42305
5,0.5,0.000848485,1.0906,1.31355,1.09098,1.31431
6,0.6,0.000683118,1.21444,1.15744,1.21494,1.1579
7,0.7,0.000587456,1.3208,0.965963,1.32137,0.96609
8,0.8,0.000576154,1.40695,0.755265,1.40752,0.755178
9,0.9,0.000538864,1.4718,0.541573,1.47232,0.541438
10,1,0.000477658,1.51568,0.33789,1.51615,0.337798
11,1.1,0.000433714,1.54006,0.152369,1.54049,0.152307
12,1.2,0.000412677,1.54693,-0.0116004,1.54733,-0.0116963
13,1.3,0.000419196,1.53848,-0.154238,1.53886,-0.154419
14,1.4,0.000453677,1.51673,-0.27797,1.51708,-0.278252
15,1.5,0.000497398,1.48339,-0.386271,1.48372,-0.386642
16,1.6,0.000530726,1.43983,-0.482915,1.44014,-0.483346
17,1.7,0.000546221,1.38703,-0.571568,1.38732,-0.572032
18,1.8,0.000548565,1.32562,-0.655639,1.32589,-0.656117
19,1.9,0.000552191,1.2559,-0.738267,1.25615,-0.738759
20,2,0.000580826,1.17786,-0.822391,1.17809,-0.822926
21,2.1,0.000669194,1.09123,-0.910846,1.09141,-0.911488
22,2.2,0.000861246,0.995418,-1.00647,0.995547,-1.00732
23,2.3,0.00119499,0.889578,-1.11219,0.889609,-1.11339
24,2.4,0.00167799,0.772544,-1.23104,0.772427,-1.23271
25,2.5,0.00226645,0.64285,-1.36603,0.642524,-1.36827
26,2.6,0.0028636,0.498742,-1.5198,0.498145,-1.5226
27,2.7,0.00336792,0.338251,-1.69368,0.337335,-1.69692
28,2.8,0.00377338,0.159407,-1.88601,0.158144,-1.88957
29,2.9,0.00418915,-0.0393352,-2.0895,-0.0409608,-2.09336
30,3,0.00454856,-0.258353,-2.28794,-0.260371,-2.29201
31,3.1,0.00431276,-0.495801,-2.4532,-0.498248,-2.45675
32,3.2,0.00347962,-0.746429,-2.5444,-0.749226,-2.54647
33,3.3,0.00313469,-1.00068,-2.51513,-1.00353,-2.51642
34,3.4,0.00351215,-1.2448,-2.33518,-1.2475,-2.33742
35,3.5,0.00400422,-1.4635,-2.0137,-1.46624,-2.01662
36,3.6,0.00344165,-1.64467,-1.60001,-1.64767,-1.60171
37,3.7,0.00310196,-1.78263,-1.1608,-1.78572,-1.16065
