t_index	avg_L2_error	avg_relative_error
0	7.299486e-04	3.324265e-03
1	2.565011e-03	6.305485e-03
2	4.897055e-03	8.860243e-03
3	7.210188e-03	1.096387e-02
4	9.256192e-03	1.266165e-02
5	1.100863e-02	1.403082e-02
6	1.248936e-02	1.512960e-02
7	1.374868e-02	1.601367e-02
8	1.483773e-02	1.673552e-02
9	1.578869e-02	1.733591e-02
10	1.661780e-02	1.784179e-02
11	1.733101e-02	1.826955e-02
12	1.794223e-02	1.863326e-02
13	1.847323e-02	1.894668e-02
14	1.895296e-02	1.922606e-02
15	1.941960e-02	1.949077e-02
16	1.989956e-02	1.975495e-02
17	2.039621e-02	2.002267e-02
18	2.089547e-02	2.028920e-02
19	2.139146e-02	2.055187e-02
20	2.188310e-02	2.080993e-02
21	2.238381e-02	2.106774e-02
22	2.289729e-02	2.132679e-02
23	2.342381e-02	2.158735e-02
24	2.395658e-02	2.184726e-02
25	2.448374e-02	2.210291e-02
26	2.499913e-02	2.235204e-02
27	2.550892e-02	2.259406e-02
28	2.600584e-02	2.282406e-02
29	2.648859e-02	2.304183e-02
30	2.697763e-02	2.325702e-02
31	2.748172e-02	2.347638e-02
32	2.798288e-02	2.369561e-02
33	2.847657e-02	2.391256e-02
34	2.898791e-02	2.413512e-02
35	2.952641e-02	2.436614e-02
36	3.006591e-02	2.459647e-02
37	3.059231e-02	2.482215e-02
38	3.112002e-02	2.504842e-02
39	3.165788e-02	2.527658e-02
40	3.220201e-02	2.550380e-02
41	3.276119e-02	2.573268e-02
42	3.333548e-02	2.596399e-02
43	3.390723e-02	2.619419e-02
44	3.447935e-02	2.642603e-02
45	3.506690e-02	2.666319e-02
46	3.567184e-02	2.690376e-02
47	3.628999e-02	2.714488e-02
48	3.692773e-02	2.738733e-02
49	3.759138e-02	2.763275e-02
50	3.828467e-02	2.788294e-02
51	3.901002e-02	2.813949e-02
52	3.975957e-02	2.840139e-02
53	4.052591e-02	2.866780e-02
54	4.130198e-02	2.893672e-02
55	4.208714e-02	2.920645e-02
56	4.288021e-02	2.947617e-02
57	4.368939e-02	2.974790e-02
58	4.451496e-02	3.002130e-02
59	4.535623e-02	3.029645e-02
60	4.620985e-02	3.057319e-02
61	4.708828e-02	3.085445e-02
62	4.797827e-02	3.113681e-02
63	4.886807e-02	3.141781e-02
64	4.976310e-02	3.169921e-02
65	5.069160e-02	3.198859e-02
66	5.164652e-02	3.228387e-02
67	5.262167e-02	3.258186e-02
