t_index	avg_L2_error	avg_relative_error
0	6.560113e-05	9.810998e-04
1	2.064239e-04	1.757219e-03
2	3.963199e-04	2.449161e-03
3	6.111804e-04	3.068681e-03
4	8.208743e-04	3.590112e-03
5	1.034312e-03	4.048909e-03
6	1.231828e-03	4.439870e-03
7	1.419508e-03	4.781350e-03
8	1.592782e-03	5.084215e-03
9	1.749455e-03	5.356133e-03
10	1.899199e-03	5.609266e-03
11	2.037593e-03	5.836385e-03
12	2.166867e-03	6.043442e-03
13	2.293475e-03	6.237888e-03
14	2.423671e-03	6.434375e-03
15	2.548822e-03	6.619585e-03
16	2.657073e-03	6.779536e-03
17	2.763477e-03	6.931195e-03
18	2.886423e-03	7.098654e-03
19	3.016394e-03	7.273808e-03
20	3.151685e-03	7.451290e-03
21	3.284697e-03	7.616436e-03
22	3.405196e-03	7.764052e-03
23	3.521611e-03	7.904613e-03
24	3.639672e-03	8.047721e-03
25	3.763759e-03	8.197061e-03
26	3.887687e-03	8.344714e-03
27	4.015819e-03	8.490703e-03
28	4.158871e-03	8.643155e-03
29	4.312967e-03	8.801006e-03
30	4.469214e-03	8.958963e-03
31	4.635227e-03	9.121642e-03
32	4.812119e-03	9.291354e-03
33	4.994587e-03	9.464890e-03
34	5.178009e-03	9.640409e-03
35	5.366800e-03	9.819846e-03
36	5.563917e-03	1.000118e-02
37	5.749268e-03	1.016881e-02
38	5.920010e-03	1.032271e-02
39	6.106874e-03	1.048863e-02
40	6.304340e-03	1.066210e-02
41	6.491555e-03	1.082387e-02
42	6.681027e-03	1.098261e-02
43	6.880015e-03	1.114973e-02
44	7.071269e-03	1.131353e-02
45	7.268914e-03	1.147751e-02
46	7.480952e-03	1.164979e-02
47	7.706609e-03	1.183070e-02
48	7.933771e-03	1.200359e-02
49	8.173982e-03	1.217769e-02
50	8.421095e-03	1.235336e-02
51	8.677672e-03	1.253180e-02
52	8.949654e-03	1.271597e-02
53	9.241617e-03	1.291550e-02
54	9.541418e-03	1.311877e-02
55	9.844042e-03	1.331441e-02
56	1.016177e-02	1.351758e-02
57	1.049351e-02	1.373107e-02
58	1.082120e-02	1.393542e-02
59	1.116258e-02	1.414226e-02
60	1.151393e-02	1.435266e-02
61	1.186792e-02	1.455892e-02
62	1.225608e-02	1.478228e-02
63	1.265742e-02	1.501192e-02
64	1.305483e-02	1.523618e-02
65	1.347873e-02	1.547465e-02
66	1.392744e-02	1.572226e-02
67	1.438403e-02	1.595872e-02
68	1.484091e-02	1.619451e-02
69	1.529891e-02	1.643298e-02
70	1.575782e-02	1.666713e-02
71	1.628976e-02	1.693181e-02
72	1.684186e-02	1.720220e-02
73	1.737511e-02	1.745921e-02
74	1.792590e-02	1.772467e-02
75	1.849472e-02	1.799499e-02
76	1.906541e-02	1.825482e-02
77	1.967545e-02	1.853033e-02
78	2.032532e-02	1.882358e-02
79	2.094966e-02	1.909648e-02
80	2.158068e-02	1.936791e-02
81	2.223412e-02	1.964629e-02
82	2.290786e-02	1.992737e-02
83	2.362441e-02	2.022257e-02
84	2.437436e-02	2.052239e-02
85	2.515343e-02	2.082930e-02
