t_index	avg_L2_error	avg_relative_error
0	4.253137e-08	8.444039e-04
1	1.451337e-07	1.548740e-03
2	3.019738e-07	2.219125e-03
3	5.094464e-07	2.869028e-03
4	7.639752e-07	3.502898e-03
5	1.061838e-06	4.122496e-03
6	1.399306e-06	4.728614e-03
7	1.772842e-06	5.321775e-03
8	2.179121e-06	5.902375e-03
9	2.615104e-06	6.470793e-03
10	3.077849e-06	7.027197e-03
11	3.564398e-06	7.571548e-03
12	4.071858e-06	8.103758e-03
13	4.597419e-06	8.623716e-03
14	5.138509e-06	9.131402e-03
15	5.692868e-06	9.626913e-03
16	6.258580e-06	1.011048e-02
17	6.833996e-06	1.058238e-02
18	7.417778e-06	1.104300e-02
19	8.008896e-06	1.149279e-02
20	8.606565e-06	1.193226e-02
21	9.210235e-06	1.236191e-02
22	9.819597e-06	1.278227e-02
23	1.043446e-05	1.319383e-02
24	1.105476e-05	1.359704e-02
25	1.168060e-05	1.399239e-02
26	1.231223e-05	1.438035e-02
27	1.294994e-05	1.476139e-02
28	1.359417e-05	1.513599e-02
29	1.424536e-05	1.550462e-02
30	1.490388e-05	1.586767e-02
31	1.556999e-05	1.622544e-02
32	1.624379e-05	1.657815e-02
33	1.692518e-05	1.692587e-02
34	1.761382e-05	1.726858e-02
35	1.830923e-05	1.760614e-02
36	1.901085e-05	1.793841e-02
37	1.971822e-05	1.826525e-02
38	2.043098e-05	1.858659e-02
39	2.114896e-05	1.890243e-02
40	2.187218e-05	1.921287e-02
41	2.260084e-05	1.951808e-02
42	2.333526e-05	1.981830e-02
43	2.407583e-05	2.011382e-02
44	2.482297e-05	2.040492e-02
45	2.557705e-05	2.069188e-02
46	2.633840e-05	2.097496e-02
47	2.710724e-05	2.125439e-02
48	2.788366e-05	2.153031e-02
49	2.866767e-05	2.180285e-02
50	2.945924e-05	2.207214e-02
51	3.025831e-05	2.233824e-02
52	3.106477e-05	2.260124e-02
53	3.187859e-05	2.286123e-02
54	3.269970e-05	2.311829e-02
55	3.352808e-05	2.337251e-02
56	3.436377e-05	2.362402e-02
