t_index	avg_L2_error	avg_relative_error
0	1.819121e-02	1.722437e-02
1	7.029221e-02	3.403561e-02
2	1.508468e-01	5.021064e-02
3	2.534388e-01	6.560476e-02
4	3.721253e-01	8.015253e-02
5	5.020451e-01	9.384261e-02
6	6.393409e-01	1.066913e-01
7	7.810259e-01	1.187317e-01
8	9.250702e-01	1.300176e-01
9	1.070173e+00	1.406121e-01
10	1.215569e+00	1.505787e-01
11	1.360807e+00	1.599781e-01
12	1.505605e+00	1.688650e-01
13	1.649731e+00	1.772862e-01
14	1.792871e+00	1.852797e-01
15	1.934629e+00	1.928751e-01
16	2.074744e+00	2.001038e-01
17	2.212973e+00	2.069938e-01
18	2.349154e+00	2.135723e-01
19	2.483428e+00	2.198723e-01
20	2.616229e+00	2.259322e-01
21	2.748088e+00	2.317884e-01
22	2.879694e+00	2.374775e-01
23	3.011876e+00	2.430372e-01
24	3.145455e+00	2.485010e-01
25	3.281115e+00	2.538952e-01
26	3.419391e+00	2.592403e-01
27	3.560729e+00	2.645522e-01
28	3.705196e+00	2.698371e-01
29	3.852928e+00	2.751021e-01
30	4.003963e+00	2.803535e-01
31	4.158228e+00	2.855934e-01
32	4.315512e+00	2.908222e-01
33	4.475686e+00	2.960413e-01
34	4.638667e+00	3.012528e-01
35	4.804179e+00	3.064530e-01
36	4.971982e+00	3.116389e-01
37	5.141670e+00	3.168033e-01
38	5.313396e+00	3.219505e-01
39	5.487155e+00	3.270809e-01
40	5.663190e+00	3.321980e-01
41	5.841700e+00	3.373067e-01
42	6.023351e+00	3.424179e-01
43	6.208009e+00	3.475302e-01
44	6.395840e+00	3.526472e-01
45	6.586670e+00	3.577676e-01
46	6.780378e+00	3.628902e-01
47	6.976414e+00	3.680081e-01
48	7.174732e+00	3.731215e-01
49	7.374501e+00	3.782194e-01
50	7.575333e+00	3.832977e-01
51	7.776835e+00	3.883531e-01
52	7.978796e+00	3.933862e-01
53	8.181238e+00	3.984003e-01
54	8.384471e+00	4.034019e-01
55	8.588591e+00	4.083944e-01
56	8.793884e+00	4.133828e-01
57	9.000722e+00	4.183723e-01
58	9.209275e+00	4.233660e-01
59	9.420191e+00	4.283717e-01
60	9.633143e+00	4.333839e-01
61	9.848262e+00	4.384022e-01
62	1.006558e+01	4.434259e-01
63	1.028440e+01	4.484442e-01
64	1.050437e+01	4.534525e-01
65	1.072472e+01	4.584393e-01
66	1.094470e+01	4.633936e-01
67	1.116385e+01	4.683089e-01
68	1.138202e+01	4.731817e-01
69	1.159877e+01	4.780071e-01
70	1.181443e+01	4.827891e-01
71	1.202977e+01	4.875363e-01
72	1.224478e+01	4.922508e-01
73	1.246010e+01	4.969407e-01
74	1.267586e+01	5.016096e-01
75	1.289234e+01	5.062625e-01
76	1.310974e+01	5.109034e-01
77	1.332751e+01	5.155284e-01
78	1.354597e+01	5.201423e-01
79	1.376499e+01	5.247437e-01
80	1.398385e+01	5.293258e-01
81	1.420307e+01	5.338935e-01
82	1.442250e+01	5.384455e-01
83	1.464185e+01	5.429771e-01
84	1.486148e+01	5.474901e-01
85	1.508164e+01	5.519871e-01
86	1.530279e+01	5.564724e-01
87	1.552524e+01	5.609472e-01
88	1.574903e+01	5.654130e-01
89	1.597442e+01	5.698731e-01
90	1.620173e+01	5.743320e-01
91	1.643107e+01	5.787925e-01
92	1.666245e+01	5.832577e-01
93	1.689557e+01	5.877265e-01
94	1.713021e+01	5.921978e-01
95	1.736614e+01	5.966702e-01
96	1.760371e+01	6.011466e-01
97	1.784261e+01	6.056242e-01
98	1.808230e+01	6.100964e-01
99	1.832262e+01	6.145601e-01
100	1.856364e+01	6.190146e-01
101	1.880474e+01	6.234525e-01
102	1.904591e+01	6.278715e-01
103	1.928741e+01	6.322739e-01
104	1.952888e+01	6.366575e-01
105	1.977036e+01	6.410211e-01
106	2.001250e+01	6.453716e-01
107	2.025478e+01	6.497081e-01
108	2.049772e+01	6.540360e-01
109	2.074045e+01	6.583460e-01
110	2.098246e+01	6.626346e-01
111	2.122417e+01	6.669056e-01
112	2.146491e+01	6.711533e-01
113	2.170445e+01	6.753773e-01
114	2.194347e+01	6.795812e-01
