t_index	avg_L2_error	avg_relative_error
0	1.072522e-06	4.360063e-03
1	3.872184e-06	8.235693e-03
2	8.138276e-06	1.188597e-02
3	1.378077e-05	1.541930e-02
4	2.076434e-05	1.888974e-02
5	2.908136e-05	2.232850e-02
6	3.874841e-05	2.575851e-02
7	4.982158e-05	2.920549e-02
8	6.239505e-05	3.269624e-02
9	7.663092e-05	3.626679e-02
10	9.270368e-05	3.994049e-02
11	1.108464e-04	4.374377e-02
12	1.311398e-04	4.765450e-02
13	1.536416e-04	5.165201e-02
14	1.782045e-04	5.568447e-02
15	2.048002e-04	5.973718e-02
16	2.333692e-04	6.379474e-02
17	2.637663e-04	6.783392e-02
18	2.954087e-04	7.177934e-02
19	3.276541e-04	7.556513e-02
20	3.599113e-04	7.914278e-02
21	3.916175e-04	8.247005e-02
22	4.227037e-04	8.555679e-02
23	4.539999e-04	8.850098e-02
24	4.865437e-04	9.140394e-02
25	5.211546e-04	9.433158e-02
26	5.588090e-04	9.736359e-02
27	6.001684e-04	1.005472e-01
28	6.446424e-04	1.038478e-01
29	6.907812e-04	1.071657e-01
30	7.367116e-04	1.103871e-01
31	7.808192e-04	1.134195e-01
32	8.228724e-04	1.162585e-01
33	8.630849e-04	1.189361e-01
34	9.014243e-04	1.214657e-01
35	9.384774e-04	1.238904e-01
36	9.753324e-04	1.262700e-01
37	1.012318e-03	1.286272e-01
38	1.048946e-03	1.309335e-01
39	1.085953e-03	1.332264e-01
40	1.124014e-03	1.355416e-01
41	1.162959e-03	1.378731e-01
42	1.202849e-03	1.402275e-01
43	1.243766e-03	1.426150e-01
44	1.285510e-03	1.450292e-01
45	1.327563e-03	1.474444e-01
46	1.369951e-03	1.498639e-01
47	1.412422e-03	1.522833e-01
48	1.454748e-03	1.546936e-01
49	1.497418e-03	1.571194e-01
50	1.540960e-03	1.595849e-01
51	1.585741e-03	1.621209e-01
52	1.632133e-03	1.647385e-01
53	1.680839e-03	1.674586e-01
54	1.731899e-03	1.702761e-01
55	1.785050e-03	1.731766e-01
56	1.839904e-03	1.761337e-01
57	1.896621e-03	1.791386e-01
58	1.955004e-03	1.821835e-01
59	2.015443e-03	1.852852e-01
60	2.077649e-03	1.884348e-01
61	2.142533e-03	1.916691e-01
62	2.210614e-03	1.949980e-01
63	2.282085e-03	1.984250e-01
64	2.356000e-03	2.019104e-01
65	2.432136e-03	2.054467e-01
66	2.511666e-03	2.090678e-01
67	2.594593e-03	2.127628e-01
68	2.679992e-03	2.165051e-01
69	2.767711e-03	2.202894e-01
70	2.858995e-03	2.241484e-01
71	2.953536e-03	2.280645e-01
72	3.050171e-03	2.319955e-01
73	3.148543e-03	2.359309e-01
74	3.248930e-03	2.398722e-01
75	3.351737e-03	2.438352e-01
76	3.456472e-03	2.478009e-01
77	3.562732e-03	2.517552e-01
78	3.670960e-03	2.557156e-01
79	3.781104e-03	2.596795e-01
80	3.892862e-03	2.636295e-01
81	4.007524e-03	2.676129e-01
82	4.124851e-03	2.716234e-01
