t_index	avg_L2_error	avg_relative_error
0	9.158561e-07	3.965254e-03
1	3.300388e-06	7.524545e-03
2	6.797382e-06	1.079703e-02
3	1.117979e-05	1.384628e-02
4	1.630053e-05	1.671909e-02
5	2.206403e-05	1.945081e-02
6	2.840723e-05	2.206816e-02
7	3.528739e-05	2.459143e-02
8	4.267466e-05	2.703617e-02
9	5.054792e-05	2.941462e-02
10	5.889314e-05	3.173687e-02
11	6.770260e-05	3.401174e-02
12	7.697359e-05	3.624708e-02
13	8.670618e-05	3.844968e-02
14	9.690108e-05	4.062512e-02
15	1.075584e-04	4.277782e-02
16	1.186776e-04	4.491124e-02
17	1.302572e-04	4.702807e-02
18	1.422955e-04	4.913033e-02
19	1.547890e-04	5.121943e-02
20	1.677328e-04	5.329616e-02
21	1.811202e-04	5.536085e-02
22	1.949434e-04	5.741348e-02
23	2.091937e-04	5.945391e-02
24	2.238623e-04	6.148193e-02
25	2.389400e-04	6.349727e-02
26	2.544172e-04	6.549966e-02
27	2.702841e-04	6.748879e-02
28	2.865303e-04	6.946436e-02
29	3.031455e-04	7.142606e-02
30	3.201188e-04	7.337364e-02
31	3.374400e-04	7.530695e-02
32	3.550998e-04	7.722602e-02
33	3.730902e-04	7.913101e-02
34	3.914043e-04	8.102227e-02
35	4.100363e-04	8.290019e-02
36	4.289812e-04	8.476517e-02
37	4.482339e-04	8.661758e-02
38	4.677891e-04	8.845766e-02
39	4.876410e-04	9.028555e-02
40	5.077831e-04	9.210127e-02
41	5.282087e-04	9.390479e-02
42	5.489108e-04	9.569603e-02
43	5.698823e-04	9.747494e-02
44	5.911169e-04	9.924154e-02
45	6.126089e-04	1.009959e-01
46	6.343538e-04	1.027383e-01
47	6.563484e-04	1.044691e-01
48	6.785915e-04	1.061889e-01
49	7.010839e-04	1.078983e-01
50	7.238295e-04	1.095984e-01
51	7.468341e-04	1.112903e-01
52	7.701059e-04	1.129754e-01
53	7.936543e-04	1.146549e-01
54	8.174885e-04	1.163301e-01
55	8.416165e-04	1.180021e-01
56	8.660439e-04	1.196717e-01
57	8.907729e-04	1.213395e-01
58	9.158018e-04	1.230053e-01
59	9.411250e-04	1.246692e-01
60	9.667339e-04	1.263304e-01
61	9.926175e-04	1.279884e-01
62	1.018764e-03	1.296425e-01
63	1.045164e-03	1.312921e-01
64	1.071806e-03	1.329369e-01
65	1.098687e-03	1.345768e-01
66	1.125804e-03	1.362120e-01
67	1.153160e-03	1.378431e-01
68	1.180760e-03	1.394710e-01
69	1.208612e-03	1.410967e-01
70	1.236728e-03	1.427212e-01
71	1.265116e-03	1.443456e-01
72	1.293788e-03	1.459709e-01
73	1.322753e-03	1.475978e-01
74	1.352017e-03	1.492270e-01
75	1.381585e-03	1.508588e-01
76	1.411461e-03	1.524935e-01
77	1.441645e-03	1.541311e-01
78	1.472140e-03	1.557717e-01
79	1.502946e-03	1.574153e-01
80	1.534065e-03	1.590618e-01
81	1.565500e-03	1.607116e-01
82	1.597255e-03	1.623647e-01
83	1.629338e-03	1.640215e-01
84	1.661755e-03	1.656823e-01
85	1.694514e-03	1.673475e-01
86	1.727623e-03	1.690174e-01
87	1.761089e-03	1.706922e-01
88	1.794916e-03	1.723719e-01
89	1.829106e-03	1.740564e-01
90	1.863659e-03	1.757454e-01
91	1.898570e-03	1.774382e-01
92	1.933830e-03	1.791343e-01
93	1.969430e-03	1.808327e-01
94	2.005356e-03	1.825325e-01
95	2.041596e-03	1.842327e-01
96	2.078137e-03	1.859327e-01
97	2.114967e-03	1.876316e-01
98	2.152079e-03	1.893290e-01
99	2.189466e-03	1.910246e-01
100	2.227125e-03	1.927182e-01
101	2.265055e-03	1.944099e-01
102	2.303257e-03	1.960996e-01
103	2.341730e-03	1.977875e-01
104	2.380473e-03	1.994736e-01
105	2.419483e-03	2.011578e-01
106	2.458754e-03	2.028398e-01
107	2.498276e-03	2.045193e-01
108	2.538039e-03	2.061957e-01
109	2.578028e-03	2.078686e-01
110	2.618230e-03	2.095372e-01
111	2.658632e-03	2.112011e-01
112	2.699224e-03	2.128599e-01
113	2.740000e-03	2.145135e-01
114	2.780960e-03	2.161620e-01
115	2.822107e-03	2.178057e-01
116	2.863451e-03	2.194452e-01
117	2.905007e-03	2.210814e-01
118	2.946792e-03	2.227151e-01
119	2.988825e-03	2.243473e-01
120	3.031127e-03	2.259791e-01
121	3.073716e-03	2.276112e-01
122	3.116609e-03	2.292445e-01
123	3.159823e-03	2.308797e-01
124	3.203371e-03	2.325173e-01
125	3.247265e-03	2.341578e-01
126	3.291517e-03	2.358016e-01
127	3.336141e-03	2.374492e-01
128	3.381152e-03	2.391010e-01
129	3.426566e-03	2.407578e-01
130	3.472405e-03	2.424201e-01
131	3.518691e-03	2.440887e-01
132	3.565450e-03	2.457646e-01
133	3.612710e-03	2.474485e-01
134	3.660496e-03	2.491412e-01
135	3.708835e-03	2.508435e-01
136	3.757749e-03	2.525560e-01
137	3.807257e-03	2.542789e-01
138	3.857376e-03	2.560125e-01
139	3.908116e-03	2.577568e-01
140	3.959486e-03	2.595116e-01
141	4.011492e-03	2.612767e-01
142	4.064141e-03	2.630519e-01
143	4.117438e-03	2.648370e-01
144	4.171392e-03	2.666318e-01
145	4.226016e-03	2.684363e-01
146	4.281323e-03	2.702507e-01
147	4.337333e-03	2.720753e-01
148	4.394066e-03	2.739104e-01
149	4.451544e-03	2.757564e-01
150	4.509790e-03	2.776138e-01
151	4.568827e-03	2.794830e-01
152	4.628672e-03	2.813643e-01
153	4.689341e-03	2.832577e-01
154	4.750846e-03	2.851633e-01
155	4.813194e-03	2.870810e-01
156	4.876391e-03	2.890104e-01
157	4.940437e-03	2.909513e-01
158	5.005334e-03	2.929034e-01
159	5.071083e-03	2.948661e-01
160	5.137683e-03	2.968394e-01
161	5.205138e-03	2.988228e-01
162	5.273450e-03	3.008163e-01
163	5.342624e-03	3.028197e-01
164	5.412662e-03	3.048328e-01
165	5.483567e-03	3.068555e-01
166	5.555336e-03	3.088875e-01
167	5.627963e-03	3.109282e-01
168	5.701436e-03	3.129770e-01
169	5.775736e-03	3.150330e-01
170	5.850836e-03	3.170952e-01
171	5.926705e-03	3.191623e-01
172	6.003306e-03	3.212330e-01
173	6.080599e-03	3.233056e-01
174	6.158543e-03	3.253789e-01
175	6.237097e-03	3.274513e-01
176	6.316225e-03	3.295219e-01
177	6.395894e-03	3.315894e-01
178	6.476078e-03	3.336532e-01
179	6.556756e-03	3.357128e-01
180	6.637915e-03	3.377678e-01
181	6.719544e-03	3.398181e-01
182	6.801635e-03	3.418637e-01
183	6.884183e-03	3.439047e-01
184	6.967181e-03	3.459411e-01
185	7.050620e-03	3.479730e-01
186	7.134486e-03	3.500001e-01
187	7.218765e-03	3.520224e-01
188	7.303437e-03	3.540396e-01
189	7.388481e-03	3.560513e-01
190	7.473873e-03	3.580571e-01
191	7.559590e-03	3.600568e-01
192	7.645609e-03	3.620498e-01
193	7.731912e-03	3.640360e-01
194	7.818480e-03	3.660152e-01
195	7.905299e-03	3.679874e-01
196	7.992356e-03	3.699524e-01
197	8.079642e-03	3.719105e-01
198	8.167145e-03	3.738616e-01
199	8.254854e-03	3.758058e-01
200	8.342755e-03	3.777432e-01
201	8.430833e-03	3.796738e-01
202	8.519064e-03	3.815973e-01
203	8.607422e-03	3.835135e-01
204	8.695877e-03	3.854219e-01
205	8.784389e-03	3.873221e-01
206	8.872919e-03	3.892133e-01
