K,Trajectory,Method,Metric,Value
50,0,Reference,Correlation Dimension,1.324884
50,0,Reference,Approximate Entropy,0.036050
50,0,Reference,Lyapunov Exponent,-2.274979
50,0,Baseline,Correlation Dimension,1.303848
50,0,Baseline,Approximate Entropy,0.033730
50,0,Baseline,Lyapunov Exponent,-2.242560
50,0,ANI-2,Correlation Dimension,1.303848
50,0,ANI-2,Approximate Entropy,0.036367
50,0,ANI-2,Lyapunov Exponent,-2.276441
50,0,ANI-4,Correlation Dimension,1.330944
50,0,ANI-4,Approximate Entropy,0.035883
50,0,ANI-4,Lyapunov Exponent,-2.280668
60,0,Reference,Correlation Dimension,1.422253
60,0,Reference,Approximate Entropy,0.033503
60,0,Reference,Lyapunov Exponent,-2.090496
60,0,Baseline,Correlation Dimension,1.332846
60,0,Baseline,Approximate Entropy,0.040299
60,0,Baseline,Lyapunov Exponent,-2.217141
60,0,ANI-2,Correlation Dimension,1.396379
60,0,ANI-2,Approximate Entropy,0.037458
60,0,ANI-2,Lyapunov Exponent,-2.137115
60,0,ANI-4,Correlation Dimension,1.417649
60,0,ANI-4,Approximate Entropy,0.031596
60,0,ANI-4,Lyapunov Exponent,-2.062849
70,0,Reference,Correlation Dimension,1.452724
70,0,Reference,Approximate Entropy,0.031989
70,0,Reference,Lyapunov Exponent,-0.491317
70,0,Baseline,Correlation Dimension,1.347814
70,0,Baseline,Approximate Entropy,0.043416
70,0,Baseline,Lyapunov Exponent,-0.790319
70,0,ANI-2,Correlation Dimension,1.394128
70,0,ANI-2,Approximate Entropy,0.037661
70,0,ANI-2,Lyapunov Exponent,-0.462367
70,0,ANI-4,Correlation Dimension,1.471977
70,0,ANI-4,Approximate Entropy,0.032231
70,0,ANI-4,Lyapunov Exponent,-0.488096
80,0,Reference,Correlation Dimension,1.555475
80,0,Reference,Approximate Entropy,0.040203
80,0,Reference,Lyapunov Exponent,-0.695620
80,0,Baseline,Correlation Dimension,1.490627
80,0,Baseline,Approximate Entropy,0.040606
80,0,Baseline,Lyapunov Exponent,-0.781233
80,0,ANI-2,Correlation Dimension,1.536664
80,0,ANI-2,Approximate Entropy,0.041109
80,0,ANI-2,Lyapunov Exponent,-0.770479
80,0,ANI-4,Correlation Dimension,1.552143
