t_index	avg_L2_error	avg_relative_error
0	1.360942e-04	3.717356e-02
1	3.129508e-06	5.368481e-03
2	1.360050e-05	1.105474e-02
3	3.593080e-05	1.762782e-02
4	7.927415e-05	2.548942e-02
5	1.600458e-04	3.502221e-02
6	3.054712e-04	4.656960e-02
7	5.520823e-04	6.023549e-02
8	9.314442e-04	7.563904e-02
9	1.433916e-03	9.163059e-02
10	1.986314e-03	1.066281e-01
11	2.485018e-03	1.193410e-01
12	2.859340e-03	1.292935e-01
13	3.097391e-03	1.367178e-01
14	3.233755e-03	1.422841e-01
15	3.317873e-03	1.467501e-01
16	3.383216e-03	1.506242e-01
17	3.438939e-03	1.540558e-01
18	3.477583e-03	1.569425e-01
19	3.485968e-03	1.590719e-01
20	3.456094e-03	1.603035e-01
21	3.390934e-03	1.606582e-01
22	3.303444e-03	1.603270e-01
23	3.210491e-03	1.595902e-01
24	3.127185e-03	1.587270e-01
25	3.064576e-03	1.579626e-01
26	3.031905e-03	1.574990e-01
27	3.036905e-03	1.575059e-01
28	3.085160e-03	1.581025e-01
29	3.180514e-03	1.593646e-01
30	3.323253e-03	1.612965e-01
31	3.501637e-03	1.637245e-01
32	3.674778e-03	1.660692e-01
33	3.779763e-03	1.675013e-01
34	3.780097e-03	1.675852e-01
35	3.696052e-03	1.666124e-01
36	3.577715e-03	1.652486e-01
37	3.471671e-03	1.641441e-01
38	3.407881e-03	1.637621e-01
39	3.394384e-03	1.642407e-01
40	3.416926e-03	1.653243e-01
41	3.447438e-03	1.664913e-01
42	3.461237e-03	1.672781e-01
43	3.453172e-03	1.675678e-01
44	3.437796e-03	1.676010e-01
45	3.437510e-03	1.677789e-01
46	3.469837e-03	1.684179e-01
47	3.537771e-03	1.695501e-01
48	3.624760e-03	1.708490e-01
49	3.698771e-03	1.717590e-01
50	3.726274e-03	1.717589e-01
51	3.687327e-03	1.705658e-01
52	3.583262e-03	1.682097e-01
53	3.433709e-03	1.649837e-01
54	3.267396e-03	1.613381e-01
55	3.110428e-03	1.577224e-01
56	2.976638e-03	1.544155e-01
57	2.866658e-03	1.514765e-01
58	2.774955e-03	1.488503e-01
59	2.698642e-03	1.465291e-01
60	2.639898e-03	1.445949e-01
61	2.603563e-03	1.431776e-01
62	2.593541e-03	1.423793e-01
63	2.610925e-03	1.422355e-01
64	2.652403e-03	1.426867e-01
65	2.708829e-03	1.435605e-01
66	2.765837e-03	1.445964e-01
67	2.808709e-03	1.455345e-01
68	2.828742e-03	1.462164e-01
69	2.826076e-03	1.466207e-01
70	2.807638e-03	1.468329e-01
71	2.782609e-03	1.469768e-01
72	2.758722e-03	1.471600e-01
73	2.740238e-03	1.474384e-01
74	2.728587e-03	1.478237e-01
75	2.724275e-03	1.483150e-01
76	2.728712e-03	1.489305e-01
77	2.744388e-03	1.497115e-01
78	2.773484e-03	1.506930e-01
79	2.816227e-03	1.518734e-01
80	2.869815e-03	1.531931e-01
81	2.928579e-03	1.545431e-01
82	2.984713e-03	1.557820e-01
83	3.030164e-03	1.567737e-01
84	3.058555e-03	1.574186e-01
85	3.066781e-03	1.576750e-01
86	3.055813e-03	1.575704e-01
87	3.030071e-03	1.571887e-01
88	2.996111e-03	1.566517e-01
89	2.960798e-03	1.560899e-01
90	2.929687e-03	1.556132e-01
91	2.906521e-03	1.553006e-01
92	2.893225e-03	1.551963e-01
93	2.890492e-03	1.553184e-01
94	2.898275e-03	1.556664e-01
95	2.916041e-03	1.562265e-01
96	2.942606e-03	1.569692e-01
97	2.975883e-03	1.578459e-01
98	3.012728e-03	1.587885e-01
99	3.048920e-03	1.597100e-01
100	3.079840e-03	1.605195e-01
101	3.101384e-03	1.611372e-01
102	3.110988e-03	1.615120e-01
103	3.108117e-03	1.616292e-01
104	3.094141e-03	1.615077e-01
105	3.071797e-03	1.611919e-01
106	3.044418e-03	1.607389e-01
107	3.015220e-03	1.602069e-01
108	2.986963e-03	1.596487e-01
109	2.961669e-03	1.591055e-01
110	2.940634e-03	1.586067e-01
111	2.924420e-03	1.581689e-01
112	2.912892e-03	1.577954e-01
113	2.905279e-03	1.574785e-01
114	2.900290e-03	1.572014e-01
115	2.896317e-03	1.569419e-01
116	2.891729e-03	1.566785e-01
117	2.885147e-03	1.563944e-01
118	2.875726e-03	1.560826e-01
119	2.863314e-03	1.557474e-01
120	2.848421e-03	1.554035e-01
121	2.832133e-03	1.550744e-01
122	2.815881e-03	1.547879e-01
123	2.801186e-03	1.545721e-01
124	2.789433e-03	1.544515e-01
125	2.781715e-03	1.544439e-01
126	2.778736e-03	1.545589e-01
127	2.780806e-03	1.547982e-01
128	2.787829e-03	1.551548e-01
129	2.799367e-03	1.556150e-01
130	2.814668e-03	1.561590e-01
131	2.832725e-03	1.567621e-01
132	2.852398e-03	1.573978e-01
133	2.872476e-03	1.580384e-01
134	2.891847e-03	1.586595e-01
135	2.909589e-03	1.592406e-01
136	2.925082e-03	1.597683e-01
137	2.938012e-03	1.602349e-01
138	2.948434e-03	1.606410e-01
139	2.956676e-03	1.609927e-01
140	2.963275e-03	1.613010e-01
141	2.968888e-03	1.615797e-01
142	2.974146e-03	1.618426e-01
143	2.979653e-03	1.621038e-01
144	2.985862e-03	1.623745e-01
145	2.993052e-03	1.626626e-01
146	3.001361e-03	1.629734e-01
147	3.010731e-03	1.633078e-01
148	3.020999e-03	1.636640e-01
149	3.031882e-03	1.640377e-01
150	3.043035e-03	1.644221e-01
151	3.054069e-03	1.648095e-01
152	3.064603e-03	1.651913e-01
153	3.074280e-03	1.655592e-01
154	3.082805e-03	1.659053e-01
155	3.089961e-03	1.662234e-01
156	3.095628e-03	1.665087e-01
157	3.099794e-03	1.667585e-01
158	3.102529e-03	1.669721e-01
159	3.103994e-03	1.671504e-01
160	3.104395e-03	1.672960e-01
161	3.103981e-03	1.674126e-01
162	3.102979e-03	1.675040e-01
163	3.101603e-03	1.675744e-01
164	3.100017e-03	1.676276e-01
165	3.098347e-03	1.676672e-01
166	3.096662e-03	1.676961e-01
167	3.094992e-03	1.677169e-01
168	3.093348e-03	1.677322e-01
169	3.091723e-03	1.677442e-01
170	3.090129e-03	1.677562e-01
171	3.088587e-03	1.677710e-01
172	3.087146e-03	1.677924e-01
173	3.085884e-03	1.678242e-01
174	3.084925e-03	1.678711e-01
175	3.084399e-03	1.679375e-01
176	3.084472e-03	1.680280e-01
177	3.085317e-03	1.681468e-01
178	3.087111e-03	1.682980e-01
179	3.090018e-03	1.684847e-01
180	3.094172e-03	1.687092e-01
181	3.099668e-03	1.689725e-01
182	3.106556e-03	1.692744e-01
183	3.114822e-03	1.696133e-01
184	3.124400e-03	1.699863e-01
185	3.135171e-03	1.703895e-01
186	3.146971e-03	1.708178e-01
