t_index	avg_L2_error	avg_relative_error
0	1.012683e-09	1.172487e-04
1	5.482078e-10	8.645643e-05
2	3.717488e-10	7.141732e-05
3	2.866374e-10	6.296375e-05
4	2.407127e-10	5.800612e-05
5	2.155160e-10	5.521534e-05
6	2.028569e-10	5.389159e-05
7	1.986611e-10	5.362653e-05
8	2.006501e-10	5.415462e-05
9	2.074800e-10	5.529492e-05
10	2.183112e-10	5.691800e-05
11	2.326025e-10	5.892872e-05
12	2.500026e-10	6.125599e-05
13	2.702853e-10	6.384591e-05
14	2.933138e-10	6.665755e-05
15	3.190181e-10	6.965983e-05
16	3.473802e-10	7.282923e-05
17	3.784226e-10	7.614797e-05
18	4.122016e-10	7.960271e-05
19	4.488017e-10	8.318349e-05
20	4.883316e-10	8.688293e-05
21	5.309219e-10	9.069572e-05
22	5.767223e-10	9.461807e-05
23	6.258993e-10	9.864731e-05
24	6.786341e-10	1.027816e-04
25	7.351221e-10	1.070196e-04
26	7.955718e-10	1.113608e-04
27	8.602027e-10	1.158045e-04
28	9.292456e-10	1.203506e-04
29	1.002940e-09	1.249988e-04
30	1.081533e-09	1.297491e-04
31	1.165281e-09	1.346013e-04
32	1.254444e-09	1.395550e-04
33	1.349289e-09	1.446102e-04
34	1.450089e-09	1.497663e-04
35	1.557122e-09	1.550232e-04
36	1.670670e-09	1.603805e-04
37	1.791019e-09	1.658378e-04
38	1.918458e-09	1.713949e-04
39	2.053281e-09	1.770514e-04
40	2.195782e-09	1.828070e-04
41	2.346260e-09	1.886617e-04
42	2.505012e-09	1.946154e-04
43	2.672340e-09	2.006679e-04
44	2.848544e-09	2.068196e-04
45	3.033924e-09	2.130706e-04
46	3.228781e-09	2.194213e-04
47	3.433415e-09	2.258719e-04
48	3.648125e-09	2.324231e-04
49	3.873205e-09	2.390753e-04
50	4.108948e-09	2.458288e-04
51	4.355637e-09	2.526836e-04
52	4.613537e-09	2.596390e-04
53	4.882901e-09	2.666940e-04
54	5.163973e-09	2.738470e-04
55	5.456974e-09	2.810959e-04
56	5.762121e-09	2.884387e-04
57	6.079620e-09	2.958729e-04
58	6.409657e-09	3.033959e-04
59	6.752424e-09	3.110053e-04
60	7.108090e-09	3.186983e-04
61	7.476822e-09	3.264724e-04
62	7.858780e-09	3.343250e-04
63	8.254107e-09	3.422536e-04
64	8.662945e-09	3.502556e-04
65	9.085417e-09	3.583286e-04
66	9.521644e-09	3.664702e-04
67	9.971726e-09	3.746778e-04
68	1.043576e-08	3.829490e-04
69	1.091382e-08	3.912816e-04
70	1.140598e-08	3.996730e-04
71	1.191228e-08	4.081209e-04
72	1.243276e-08	4.166229e-04
73	1.296743e-08	4.251765e-04
74	1.351629e-08	4.337792e-04
