t_index	avg_L2_error	avg_relative_error
0	4.944084e-03	1.256493e-01
1	2.638277e-03	9.086608e-02
2	1.091166e-02	1.848581e-01
3	2.442219e-02	2.776474e-01
4	3.670496e-02	3.402259e-01
5	4.303082e-02	3.677928e-01
6	4.630337e-02	3.815653e-01
7	4.850700e-02	3.909885e-01
8	4.992138e-02	3.972079e-01
9	5.065444e-02	4.007561e-01
10	5.087014e-02	4.022613e-01
11	5.086146e-02	4.028199e-01
12	5.074560e-02	4.028855e-01
13	5.056079e-02	4.026133e-01
14	5.033251e-02	4.021081e-01
15	5.007694e-02	4.014410e-01
16	4.980818e-02	4.006757e-01
17	4.953757e-02	3.998633e-01
18	4.927140e-02	3.990341e-01
19	4.900926e-02	3.981909e-01
20	4.875177e-02	3.973403e-01
21	4.850391e-02	3.965062e-01
22	4.827434e-02	3.957267e-01
23	4.807419e-02	3.950492e-01
24	4.791622e-02	3.945274e-01
25	4.781206e-02	3.942113e-01
26	4.776878e-02	3.941319e-01
27	4.779268e-02	3.943169e-01
28	4.788767e-02	3.947838e-01
29	4.805539e-02	3.955403e-01
30	4.829738e-02	3.965936e-01
31	4.861344e-02	3.979429e-01
32	4.900133e-02	3.995784e-01
33	4.945704e-02	4.014825e-01
34	4.997549e-02	4.036323e-01
35	5.055178e-02	4.060051e-01
36	5.118070e-02	4.085764e-01
37	5.185650e-02	4.113186e-01
38	5.257264e-02	4.142008e-01
39	5.332153e-02	4.171883e-01
40	5.409431e-02	4.202420e-01
41	5.488054e-02	4.233181e-01
42	5.566850e-02	4.263700e-01
43	5.644547e-02	4.293495e-01
44	5.719835e-02	4.322091e-01
45	5.791506e-02	4.349072e-01
46	5.858582e-02	4.374119e-01
47	5.920428e-02	4.397046e-01
48	5.976759e-02	4.417797e-01
49	6.027539e-02	4.436399e-01
50	6.072969e-02	4.452965e-01
51	6.113484e-02	4.467683e-01
52	6.149644e-02	4.480782e-01
53	6.182068e-02	4.492506e-01
54	6.211402e-02	4.503101e-01
55	6.238287e-02	4.512804e-01
56	6.263287e-02	4.521817e-01
57	6.286861e-02	4.530294e-01
58	6.309357e-02	4.538339e-01
