t_index	avg_L2_error	avg_relative_error
0	3.199524e-08	7.339542e-04
1	8.949328e-08	1.240586e-03
2	1.674399e-07	1.696910e-03
3	2.646068e-07	2.126617e-03
4	3.800545e-07	2.538236e-03
5	5.128483e-07	2.936087e-03
6	6.620231e-07	3.322693e-03
7	8.266397e-07	3.699774e-03
8	1.005619e-06	4.068285e-03
9	1.197698e-06	4.428620e-03
10	1.401262e-06	4.780424e-03
11	1.614433e-06	5.122906e-03
12	1.835192e-06	5.455318e-03
13	2.061603e-06	5.777101e-03
14	2.291856e-06	6.087852e-03
15	2.524498e-06	6.387504e-03
16	2.758485e-06	6.676306e-03
17	2.993111e-06	6.954707e-03
18	3.228085e-06	7.223390e-03
19	3.463574e-06	7.483313e-03
20	3.700138e-06	7.735623e-03
21	3.938617e-06	7.981540e-03
22	4.179906e-06	8.222162e-03
23	4.424868e-06	8.458429e-03
24	4.674172e-06	8.691011e-03
25	4.928275e-06	8.920349e-03
26	5.187394e-06	9.146651e-03
27	5.451603e-06	9.370011e-03
28	5.720957e-06	9.590529e-03
29	5.995539e-06	9.808346e-03
30	6.275561e-06	1.002373e-02
31	6.561316e-06	1.023704e-02
32	6.853175e-06	1.044867e-02
33	7.151520e-06	1.065906e-02
34	7.456690e-06	1.086855e-02
35	7.768943e-06	1.107745e-02
36	8.088473e-06	1.128599e-02
37	8.415455e-06	1.149437e-02
38	8.750114e-06	1.170283e-02
39	9.092762e-06	1.191165e-02
40	9.443801e-06	1.212120e-02
41	9.803688e-06	1.233188e-02
42	1.017292e-05	1.254411e-02
43	1.055197e-05	1.275829e-02
44	1.094122e-05	1.297474e-02
45	1.134094e-05	1.319371e-02
46	1.175125e-05	1.341528e-02
47	1.217211e-05	1.363945e-02
48	1.260336e-05	1.386611e-02
49	1.304473e-05	1.409507e-02
50	1.349585e-05	1.432609e-02
51	1.395632e-05	1.455887e-02
52	1.442571e-05	1.479310e-02
53	1.490357e-05	1.502847e-02
54	1.538947e-05	1.526466e-02
55	1.588304e-05	1.550139e-02
56	1.638399e-05	1.573842e-02
57	1.689216e-05	1.597561e-02
58	1.740748e-05	1.621286e-02
59	1.793005e-05	1.645017e-02
60	1.846003e-05	1.668756e-02
61	1.899771e-05	1.692512e-02
62	1.954343e-05	1.716300e-02
63	2.009759e-05	1.740134e-02
64	2.066060e-05	1.764032e-02
65	2.123287e-05	1.788009e-02
66	2.181477e-05	1.812077e-02
67	2.240656e-05	1.836244e-02
68	2.300845e-05	1.860511e-02
69	2.362052e-05	1.884873e-02
70	2.424282e-05	1.909325e-02
71	2.487533e-05	1.933856e-02
72	2.551799e-05	1.958453e-02
73	2.617072e-05	1.983104e-02
74	2.683345e-05	2.007797e-02
75	2.750605e-05	2.032520e-02
76	2.818841e-05	2.057258e-02
77	2.888035e-05	2.081997e-02
78	2.958173e-05	2.106725e-02
79	3.029231e-05	2.131427e-02
80	3.101188e-05	2.156090e-02
81	3.174032e-05	2.180705e-02
82	3.247751e-05	2.205264e-02
83	3.322339e-05	2.229761e-02
84	3.397793e-05	2.254193e-02
85	3.474109e-05	2.278557e-02
86	3.551289e-05	2.302851e-02
87	3.629334e-05	2.327076e-02
88	3.708245e-05	2.351230e-02
89	3.788013e-05	2.375310e-02
90	3.868638e-05	2.399315e-02
91	3.950119e-05	2.423248e-02
92	4.032454e-05	2.447107e-02
93	4.115635e-05	2.470892e-02
94	4.199657e-05	2.494600e-02
95	4.284512e-05	2.518233e-02
96	4.370197e-05	2.541789e-02
97	4.456702e-05	2.565269e-02
98	4.544034e-05	2.588676e-02
99	4.632189e-05	2.612012e-02
100	4.721170e-05	2.635280e-02
101	4.810976e-05	2.658482e-02
102	4.901610e-05	2.681622e-02
103	4.993081e-05	2.704707e-02
104	5.085399e-05	2.727740e-02
105	5.178568e-05	2.750728e-02
106	5.272600e-05	2.773675e-02
107	5.367497e-05	2.796583e-02
108	5.463259e-05	2.819456e-02
109	5.559897e-05	2.842298e-02
110	5.657405e-05	2.865108e-02
111	5.755779e-05	2.887886e-02
112	5.855025e-05	2.910636e-02
113	5.955145e-05	2.933357e-02
114	6.056132e-05	2.956048e-02
115	6.157984e-05	2.978711e-02
116	6.260715e-05	3.001348e-02
117	6.364342e-05	3.023965e-02
118	6.468874e-05	3.046565e-02
119	6.574324e-05	3.069152e-02
120	6.680715e-05	3.091732e-02
121	6.788069e-05	3.114314e-02
122	6.896411e-05	3.136904e-02
123	7.005766e-05	3.159508e-02
124	7.116154e-05	3.182135e-02
125	7.227595e-05	3.204791e-02
126	7.340107e-05	3.227480e-02
127	7.453703e-05	3.250208e-02
128	7.568395e-05	3.272980e-02
129	7.684192e-05	3.295800e-02
130	7.801102e-05	3.318671e-02
131	7.919129e-05	3.341597e-02
132	8.038274e-05	3.364581e-02
133	8.158532e-05	3.387625e-02
134	8.279896e-05	3.410731e-02
135	8.402356e-05	3.433899e-02
136	8.525905e-05	3.457131e-02
137	8.650532e-05	3.480427e-02
138	8.776224e-05	3.503789e-02
139	8.902972e-05	3.527217e-02
140	9.030758e-05	3.550711e-02
141	9.159566e-05	3.574270e-02
142	9.289382e-05	3.597893e-02
