t_index	avg_L2_error	avg_relative_error
0	4.565319e-06	8.775854e-03
1	1.812890e-05	1.745104e-02
2	4.031460e-05	2.598582e-02
3	7.054976e-05	3.433948e-02
4	1.083680e-04	4.251978e-02
5	1.532497e-04	5.051935e-02
6	2.047097e-04	5.833920e-02
7	2.622876e-04	6.598157e-02
8	3.254936e-04	7.344368e-02
9	3.938352e-04	8.072216e-02
10	4.668919e-04	8.781962e-02
11	5.442807e-04	9.473985e-02
12	6.256228e-04	1.014851e-01
13	7.105819e-04	1.080590e-01
14	7.988422e-04	1.144651e-01
15	8.901253e-04	1.207080e-01
16	9.842172e-04	1.267948e-01
17	1.080907e-03	1.327310e-01
18	1.180019e-03	1.385231e-01
19	1.281406e-03	1.441780e-01
20	1.384958e-03	1.497030e-01
21	1.490577e-03	1.551052e-01
22	1.598195e-03	1.603920e-01
23	1.707747e-03	1.655700e-01
24	1.819176e-03	1.706452e-01
25	1.932434e-03	1.756232e-01
26	2.047478e-03	1.805093e-01
27	2.164266e-03	1.853081e-01
28	2.282752e-03	1.900234e-01
29	2.402888e-03	1.946587e-01
30	2.524624e-03	1.992167e-01
31	2.647912e-03	2.036999e-01
32	2.772708e-03	2.081108e-01
33	2.898966e-03	2.124515e-01
34	3.026633e-03	2.167235e-01
35	3.155656e-03	2.209285e-01
36	3.285988e-03	2.250679e-01
37	3.417582e-03	2.291433e-01
38	3.550398e-03	2.331566e-01
39	3.684400e-03	2.371096e-01
40	3.819557e-03	2.410044e-01
41	3.955833e-03	2.448427e-01
42	4.093195e-03	2.486263e-01
43	4.231604e-03	2.523568e-01
44	4.371016e-03	2.560354e-01
45	4.511383e-03	2.596632e-01
46	4.652656e-03	2.632410e-01
47	4.794777e-03	2.667694e-01
48	4.937685e-03	2.702490e-01
49	5.081316e-03	2.736802e-01
50	5.225604e-03	2.770631e-01
51	5.370479e-03	2.803982e-01
52	5.515875e-03	2.836857e-01
53	5.661724e-03	2.869259e-01
54	5.807962e-03	2.901193e-01
55	5.954527e-03	2.932664e-01
56	6.101359e-03	2.963678e-01
57	6.248403e-03	2.994242e-01
58	6.395609e-03	3.024365e-01
59	6.542931e-03	3.054056e-01
60	6.690329e-03	3.083327e-01
61	6.837768e-03	3.112189e-01
62	6.985218e-03	3.140656e-01
63	7.132656e-03	3.168742e-01
64	7.280060e-03	3.196461e-01
65	7.427418e-03	3.223830e-01
66	7.574720e-03	3.250864e-01
67	7.721960e-03	3.277580e-01
68	7.869136e-03	3.303995e-01
69	8.016249e-03	3.330124e-01
70	8.163303e-03	3.355985e-01
71	8.310306e-03	3.381592e-01
72	8.457270e-03	3.406964e-01
73	8.604209e-03	3.432114e-01
74	8.751141e-03	3.457061e-01
75	8.898087e-03	3.481817e-01
76	9.045068e-03	3.506399e-01
77	9.192111e-03	3.530820e-01
78	9.339243e-03	3.555094e-01
79	9.486493e-03	3.579234e-01
80	9.633893e-03	3.603252e-01
81	9.781476e-03	3.627159e-01
82	9.929276e-03	3.650966e-01
83	1.007733e-02	3.674682e-01
84	1.022567e-02	3.698316e-01
85	1.037433e-02	3.721876e-01
86	1.052335e-02	3.745368e-01
87	1.067278e-02	3.768800e-01
88	1.082265e-02	3.792176e-01
89	1.097299e-02	3.815500e-01
90	1.112386e-02	3.838778e-01
91	1.127529e-02	3.862013e-01
92	1.142733e-02	3.885207e-01
93	1.158001e-02	3.908362e-01
94	1.173337e-02	3.931480e-01
95	1.188746e-02	3.954563e-01
96	1.204230e-02	3.977611e-01
97	1.219795e-02	4.000623e-01
98	1.235443e-02	4.023601e-01
99	1.251178e-02	4.046545e-01
100	1.267004e-02	4.069453e-01
101	1.282925e-02	4.092328e-01
102	1.298943e-02	4.115168e-01
103	1.315064e-02	4.137975e-01
104	1.331290e-02	4.160750e-01
105	1.347626e-02	4.183495e-01
106	1.364076e-02	4.206212e-01
107	1.380643e-02	4.228905e-01
108	1.397332e-02	4.251576e-01
109	1.414147e-02	4.274230e-01
110	1.431092e-02	4.296871e-01
111	1.448171e-02	4.319505e-01
112	1.465389e-02	4.342137e-01
113	1.482749e-02	4.364774e-01
114	1.500255e-02	4.387423e-01
115	1.517913e-02	4.410091e-01
116	1.535725e-02	4.432786e-01
117	1.553695e-02	4.455515e-01
118	1.571827e-02	4.478286e-01
119	1.590125e-02	4.501106e-01
120	1.608591e-02	4.523984e-01
121	1.627229e-02	4.546927e-01
122	1.646041e-02	4.569942e-01
123	1.665028e-02	4.593034e-01
124	1.684193e-02	4.616209e-01
125	1.703536e-02	4.639471e-01
126	1.723057e-02	4.662826e-01
127	1.742758e-02	4.686276e-01
128	1.762638e-02	4.709826e-01
129	1.782697e-02	4.733478e-01
130	1.802932e-02	4.757233e-01
131	1.823343e-02	4.781094e-01
132	1.843928e-02	4.805061e-01
133	1.864683e-02	4.829133e-01
134	1.885606e-02	4.853309e-01
135	1.906692e-02	4.877588e-01
136	1.927939e-02	4.901967e-01
137	1.949342e-02	4.926443e-01
138	1.970896e-02	4.951014e-01
139	1.992597e-02	4.975677e-01
140	2.014438e-02	5.000427e-01
141	2.036416e-02	5.025260e-01
142	2.058524e-02	5.050173e-01
143	2.080757e-02	5.075160e-01
144	2.103109e-02	5.100215e-01
145	2.125573e-02	5.125334e-01
146	2.148143e-02	5.150512e-01
147	2.170815e-02	5.175742e-01
148	2.193581e-02	5.201020e-01
149	2.216436e-02	5.226339e-01
150	2.239374e-02	5.251693e-01
151	2.262388e-02	5.277076e-01
152	2.285474e-02	5.302484e-01
153	2.308626e-02	5.327909e-01
154	2.331838e-02	5.353347e-01
155	2.355106e-02	5.378792e-01
156	2.378425e-02	5.404239e-01
157	2.401788e-02	5.429683e-01
158	2.425193e-02	5.455119e-01
159	2.448634e-02	5.480541e-01
160	2.472107e-02	5.505946e-01
161	2.495607e-02	5.531326e-01
162	2.519131e-02	5.556679e-01
163	2.542673e-02	5.582000e-01
